"Series","Class","No.","Best Lap 1","Best Lap 2","Best Lap 3","Best Lap 4","Best Lap 5","Best Lap 6","Best Lap 7","Best Lap 8","Best Lap 9","Best Lap 10","Average Best Time"
"GR Cup","Am","3","1:40.712","1:40.869","1:40.958","1:40.970","1:40.989","1:41.038","1:41.064","1:41.097","1:41.123","1:41.141","01:40.996"
"GR Cup","Am","5","1:38.444","1:38.521","1:38.537","1:38.543","1:38.567","1:38.588","1:38.590","1:38.603","1:38.620","1:38.626","01:38.564"
"GR Cup","Am","09","1:40.131","1:40.263","1:40.381","1:40.417","1:40.435","1:40.452","1:40.464","1:40.523","1:40.532","1:40.564","01:40.416"
"GR Cup","Am","11","1:39.111","1:39.163","1:39.201","1:39.209","1:39.245","1:39.352","1:39.383","1:39.399","1:39.416","1:39.437","01:39.292"
"GR Cup","Am","13","1:38.782","1:38.787","1:38.802","1:38.811","1:38.847","1:38.881","1:38.882","1:38.884","1:38.892","1:38.897","01:38.847"
"GR Cup","Am","14","1:39.666","1:39.881","1:39.888","1:39.935","1:39.976","1:40.001","1:40.013","1:40.046","1:40.099","1:40.103","01:39.961"
"GR Cup","Am","17","1:39.688","1:39.747","1:39.795","1:39.927","1:39.940","1:40.001","1:40.004","1:40.017","1:40.067","1:40.106","01:39.929"
"GR Cup","Am","18","1:39.249","1:39.303","1:39.400","1:39.404","1:39.404","1:39.416","1:39.447","1:39.481","1:39.516","1:39.526","01:39.415"
"GR Cup","Am","21","1:39.651","1:39.815","1:39.906","1:39.953","1:40.103","1:40.120","1:40.132","1:40.161","1:40.161","1:40.188","01:40.019"
"GR Cup","Am","22","1:38.909","1:39.155","1:39.173","1:39.228","1:39.254","1:39.321","1:39.348","1:39.359","1:39.388","1:39.409","01:39.254"
"GR Cup","Am","24","1:39.664","1:39.668","1:39.671","1:39.835","1:39.884","1:39.952","1:39.962","1:39.992","1:39.996","1:40.040","01:39.866"
"GR Cup","Am","25","1:40.408","1:40.600","1:40.860","1:40.877","1:40.881","1:40.918","1:40.967","1:41.078","1:41.096","1:41.182","01:40.887"
"GR Cup","Am","30","1:39.955","1:40.042","1:40.141","1:40.184","1:40.186","1:40.211","1:40.271","1:40.309","1:40.453","1:40.478","01:40.223"
"GR Cup","Am","31","1:39.674","1:39.837","1:39.852","1:39.870","1:39.903","1:39.921","1:39.937","1:39.939","1:39.946","1:40.008","01:39.889"
"GR Cup","Am","39","1:39.111","1:39.126","1:39.134","1:39.171","1:39.253","1:39.301","1:39.339","1:39.344","1:39.372","1:39.373","01:39.252"
"GR Cup","Am","46","1:38.787","1:38.845","1:38.862","1:38.932","1:38.939","1:38.941","1:38.946","1:38.946","1:38.954","1:38.973","01:38.913"
"GR Cup","Am","47","1:39.642","1:39.644","1:39.729","1:39.740","1:39.801","1:39.839","1:40.125","1:40.131","1:40.157","1:40.208","01:39.902"
"GR Cup","Am","50","1:39.844","1:39.865","1:39.911","1:39.922","1:39.928","1:39.929","1:40.004","1:40.087","1:40.098","1:40.150","01:39.974"
"GR Cup","Am","55","1:38.682","1:38.735","1:38.784","1:38.816","1:38.817","1:38.849","1:38.851","1:38.855","1:38.887","1:38.936","01:38.821"
"GR Cup","Am","57","1:38.939","1:39.006","1:39.163","1:39.168","1:39.182","1:39.239","1:39.279","1:39.315","1:39.420","1:39.492","01:39.220"
"GR Cup","Am","61","1:41.370","1:41.521","1:41.555","1:41.558","1:41.595","1:41.604","1:41.718","1:41.808","1:41.833","1:41.902","01:41.646"
"GR Cup","Am","75","1:40.195","1:40.196","1:40.208","1:40.265","1:40.310","1:40.374","1:40.438","1:40.478","1:40.496","1:40.520","01:40.348"
"GR Cup","Am","76","1:39.618","1:39.707","1:39.748","1:39.923","1:39.978","1:40.021","1:40.026","1:40.110","1:40.222","1:40.226","01:39.958"
"GR Cup","Am","88","1:40.573","1:43.278","1:57.323","4:41.219","","","","","","","02:30.598"
"GR Cup","Am","99","1:39.045","1:39.090","1:39.119","1:39.164","1:39.175","1:39.194","1:39.247","1:39.338","1:39.349","1:39.384","01:39.211"
