"Series","Class","No.","Best Lap 1","Best Lap 2","Best Lap 3","Best Lap 4","Best Lap 5","Best Lap 6","Best Lap 7","Best Lap 8","Best Lap 9","Best Lap 10","Average Best Time"
"GR Cup","Am","5","2:23.777","2:24.086","2:24.429","2:56.150","","","","","","","02:32.111"
"GR Cup","Am","7","2:26.383","2:26.948","2:27.496","2:27.651","2:30.227","3:14.740","","","","","02:35.574"
"GR Cup","Am","09","2:26.100","2:26.404","2:26.507","2:26.513","2:27.517","","","","","","02:26.608"
"GR Cup","Am","11","2:26.824","2:27.639","2:28.966","2:29.227","2:46.090","3:14.011","","","","","02:38.793"
"GR Cup","Am","13","2:24.810","2:24.937","2:24.989","2:25.406","2:25.861","2:27.263","","","","","02:25.544"
"GR Cup","Am","14","2:25.299","2:26.771","2:51.601","","","","","","","","02:34.557"
"GR Cup","Am","18","2:25.441","2:25.665","2:25.846","2:26.092","2:34.253","3:17.332","","","","","02:35.772"
"GR Cup","Am","21","2:43.082","4:38.356","","","","","","","","","03:40.719"
"GR Cup","Am","22","2:27.326","2:27.509","2:27.795","2:29.491","2:42.873","","","","","","02:30.999"
"GR Cup","Am","24","2:25.450","2:25.898","2:26.632","2:26.695","2:27.510","","","","","","02:26.437"
"GR Cup","Am","25","2:28.263","2:28.498","2:28.880","2:28.996","2:29.886","","","","","","02:28.905"
"GR Cup","Am","34","2:26.249","2:26.579","2:27.206","2:27.673","2:27.740","","","","","","02:27.089"
"GR Cup","Am","39","2:26.802","2:26.994","2:27.021","2:27.243","2:28.533","3:16.375","","","","","02:35.495"
"GR Cup","Am","43","2:26.447","2:26.803","2:26.941","2:27.809","3:14.349","3:24.097","","","","","02:44.408"
"GR Cup","Am","44","2:26.285","2:26.684","2:27.479","2:32.600","3:12.549","4:04.027","","","","","02:51.604"
"GR Cup","Am","46","2:24.792","2:24.881","2:25.304","2:25.956","2:45.691","","","","","","02:29.325"
"GR Cup","Am","50","2:26.526","2:26.631","2:27.253","2:27.721","2:28.408","3:09.389","","","","","02:34.321"
"GR Cup","Am","51","2:24.929","2:25.066","2:25.225","2:25.853","2:25.994","2:41.476","","","","","02:28.091"
"GR Cup","Am","55","2:24.961","2:25.028","2:25.455","2:25.477","2:25.705","","","","","","02:25.325"
"GR Cup","Am","57","2:24.813","2:25.273","2:25.360","2:25.450","2:25.819","2:25.886","","","","","02:25.434"
"GR Cup","Am","61","2:27.969","2:28.791","2:30.308","2:32.807","2:40.481","","","","","","02:32.071"
"GR Cup","Am","76","2:26.155","2:26.373","2:26.700","2:27.826","2:33.037","3:18.120","","","","","02:36.369"
"GR Cup","Am","77","2:26.379","2:26.706","2:26.744","2:27.202","2:27.632","","","","","","02:26.933"
"GR Cup","Am","78","2:26.521","2:26.600","2:26.854","2:26.861","2:27.004","","","","","","02:26.768"
"GR Cup","Am","80","2:26.321","2:26.608","2:26.614","2:27.044","2:27.289","","","","","","02:26.775"
"GR Cup","Am","88","2:25.649","2:26.137","2:26.323","2:26.756","2:34.346","3:14.852","","","","","02:35.677"
"GR Cup","Am","99","2:25.052","2:25.077","2:25.082","2:25.188","2:25.280","2:25.349","","","","","02:25.171"
