"Pos","PIC","#","Name","Class","Laps","Total Time","Total Time (ms)","Best Time","Best Time (ms)","Best Speed","Best Lap","Diff","Gap","Points","Start Pos","Total distance","Laps led","Startgrid Comment","First Name","Last Name","2nd Best Time","2nd Best Time (ms)","Pitstops","S1 Best Time","S1 Best Time (ms)","S2 Best Time","S2 Best Time (ms)","S3 Best Time","S3 Best Time (ms)","FirstName","LastName","Additional1","Additional2","Additional3","Additional4","Additional5","Additional6","Additional7","Additional8","CarRegistration","DriverRegistration","Transponder1","Transponder2","Start PIC","Pos Gained","Pos Gained Overall"
"12","12","09","Maddie Aust","Am","5","15:25.578",925578,"2:26.100",146100,"92.156","3","2.323","0.451","0","3","18.700","0","","Maddie","Aust","2:26.404",146404,"","43.763",43763,"50.543",50543,"51.783",51783,"Maddie","Aust","","218788","GR Cup","Toyota GR86","BSI Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:Jrr2UDwJ-VgsQWe7l61px","entries:events-2024-sro-sebring:Jrr2UDwJ-VgsQWe7l61px","14061566","",3,"-9 (3 → 12)","-9"
"13","13","76","Steven Clemons","Am","6","16:09.992",969992,"2:26.155",146155,"92.121","6","2.378","0.055","0","24","22.440","0","","Steven","Clemons","2:26.373",146373,"1","43.303",43303,"50.748",50748,"52.096",52096,"Steven","Clemons","","219225","GR Cup","Toyota GR86","BSI Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:7OJCvR3_5D3jRXwT27eaB","entries:events-2024-sro-sebring:7OJCvR3_5D3jRXwT27eaB","13032211","",24,"11 (24 → 13)","11"
"14","14","34","Braydon Arthur","Am","5","15:51.812",951812,"2:26.249",146249,"92.062","4","2.472","0.094","0","14","18.700","0","","Braydon","Arthur","2:26.579",146579,"","43.470",43470,"50.613",50613,"51.935",51935,"Braydon","Arthur","","219195","GR Cup","Toyota GR86","JMF Motorsports","Toyota Gazoo Racing","CAN","","entries:events-2024-sro-sebring:3Bd22e3KL9vyO5rO7WdR7","entries:events-2024-sro-sebring:3Bd22e3KL9vyO5rO7WdR7","15222059","",14,"0 (14 → 14)","0"
"15","15","44","Aidan Yoder","Am","6","17:50.507",1070507,"2:26.285",146285,"92.040","3","2.508","0.036","0","17","22.440","0","","Aidan","Yoder","2:26.684",146684,"1","43.454",43454,"50.809",50809,"52.022",52022,"Aidan","Yoder","","219270","GR Cup","Toyota GR86","Precision Racing LA","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:LgXFxDSRNG8QvboefvozC","entries:events-2024-sro-sebring:LgXFxDSRNG8QvboefvozC","14864382","",17,"2 (17 → 15)","2"
"16","16","80","Tyler Wettengel","Am","5","15:14.651",914651,"2:26.321",146321,"92.017","3","2.544","0.036","0","27","18.700","0","","Tyler","Wettengel","2:26.608",146608,"","43.813",43813,"50.515",50515,"51.828",51828,"Tyler","Wettengel","","219101","GR Cup","Toyota GR86","Nitro Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:PYQ9SeyxGMpNqY3HZnWAS","entries:events-2024-sro-sebring:PYQ9SeyxGMpNqY3HZnWAS","15012542","",27,"11 (27 → 16)","11"
"17","17","77","William Lambros","Am","5","15:04.851",904851,"2:26.379",146379,"91.980","2","2.602","0.058","0","25","18.700","0","","William","Lambros","2:26.706",146706,"","43.478",43478,"50.846",50846,"52.055",52055,"William","Lambros","","219145","GR Cup","Toyota GR86","Skip Barber Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:dD-ia3Ud6l-NaZ8tab-FK","entries:events-2024-sro-sebring:dD-ia3Ud6l-NaZ8tab-FK","15422081","",25,"8 (25 → 17)","8"
"18","18","7","Spencer Bucknum","Am","6","16:16.147",976147,"2:26.383",146383,"91.978","4","2.606","0.004","0","2","22.440","0","","Spencer","Bucknum","2:26.948",146948,"1","43.664",43664,"50.747",50747,"51.965",51965,"Spencer","Bucknum","","218631","GR Cup","Toyota GR86","Precision Racing LA","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:nLDWApWuVfIvvNzOXce-F","entries:events-2024-sro-sebring:nLDWApWuVfIvvNzOXce-F","13334705","",2,"-16 (2 → 18)","-16"
"19","19","43","Alexandra Hainer","Am","6","17:06.153",1026153,"2:26.447",146447,"91.938","4","2.670","0.064","0","16","22.440","0","","Alexandra","Hainer","2:26.803",146803,"1","43.540",43540,"50.996",50996,"51.845",51845,"Alexandra","Hainer","","219199","GR Cup","Toyota GR86","Precision Racing LA","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:wQJ5BfsdD5aBPLhSy7VsL","entries:events-2024-sro-sebring:wQJ5BfsdD5aBPLhSy7VsL","11358964","",16,"-3 (16 → 19)","-3"
"20","20","78","Julian DaCosta","Am","5","15:15.063",915063,"2:26.521",146521,"91.891","5","2.744","0.074","0","26","18.700","0","","Julian","DaCosta","2:26.600",146600,"","43.577",43577,"50.830",50830,"51.866",51866,"Julian","DaCosta","","218666","GR Cup","Toyota GR86","BSI Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:j6nVMjvM-bGEVsEkF_O-J","entries:events-2024-sro-sebring:j6nVMjvM-bGEVsEkF_O-J","12769314","",26,"6 (26 → 20)","6"
"21","21","50","Casey Mashore","Am","6","16:20.565",980565,"2:26.526",146526,"91.888","4","2.749","0.005","0","19","22.440","0","","Casey","Mashore","2:26.631",146631,"1","43.102",43102,"50.615",50615,"52.547",52547,"Casey","Mashore","","219242","GR Cup","Toyota GR86","Mashore Autobody","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:vQaoKNdNipKj8ghZ8wD4B","entries:events-2024-sro-sebring:vQaoKNdNipKj8ghZ8wD4B","10127188","",19,"-2 (19 → 21)","-2"
"22","22","39","Maximilian Hewitt","Am","6","15:39.852",939852,"2:26.802",146802,"91.715","4","3.025","0.276","0","15","22.440","1","","Maximilian","Hewitt","2:26.994",146994,"1","43.684",43684,"50.849",50849,"52.265",52265,"Maximilian","Hewitt","","219206","GR Cup","Toyota GR86","BSI Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:hMgPZB-4SI4mQhRUV4aNS","entries:events-2024-sro-sebring:hMgPZB-4SI4mQhRUV4aNS","13778007","",15,"-7 (15 → 22)","-7"
"23","23","11","Farran Davis","Am","6","16:37.570",997570,"2:26.824",146824,"91.702","3","3.047","0.022","0","4","22.440","0","","Farran","Davis","2:27.639",147639,"1","43.666",43666,"50.814",50814,"52.344",52344,"Farran","Davis","","219268","GR Cup","Toyota GR86","RVA Graphics Motorsports by Speed Syndicate","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:BGmKsCB5CgaREKiYblhkk","entries:events-2024-sro-sebring:BGmKsCB5CgaREKiYblhkk","10741809","",4,"-19 (4 → 23)","-19"
"24","24","22","Devin Anderson","Am","5","15:34.760",934760,"2:27.326",147326,"91.389","2","3.549","0.502","0","10","18.700","0","","Devin","Anderson","2:27.509",147509,"","43.918",43918,"50.563",50563,"52.412",52412,"Devin","Anderson","","219213","GR Cup","Toyota GR86","TechSport Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:FU95MJSqdsAg1D_ORQ35O","entries:events-2024-sro-sebring:FU95MJSqdsAg1D_ORQ35O","11308725","",10,"-14 (10 → 24)","-14"
"25","25","61","James Klimas","Am","5","16:24.635",984635,"2:27.969",147969,"90.992","2","4.192","0.643","0","23","18.700","0","","James","Klimas","2:28.791",148791,"","43.768",43768,"51.135",51135,"52.539",52539,"James","Klimas","","219118","GR Cup","Toyota GR86","Skip Barber Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:mdvv2AvyIndmXMlEP8mOJ","entries:events-2024-sro-sebring:mdvv2AvyIndmXMlEP8mOJ","12079696","",23,"-2 (23 → 25)","-2"
"26","26","25","Alfonso Diaz","Am","5","15:27.299",927299,"2:28.263",148263,"90.812","1","4.486","0.294","0","12","18.700","0","","Alfonso","Diaz","2:28.498",148498,"","43.838",43838,"51.210",51210,"52.615",52615,"Alfonso","Diaz","","219082","GR Cup","Toyota GR86","TechSport Racing","Toyota Gazoo Racing","PRI","","entries:events-2024-sro-sebring:4E_gC4bNpOgZ_zAAS6_7F","entries:events-2024-sro-sebring:4E_gC4bNpOgZ_zAAS6_7F","13583245","",12,"-14 (12 → 26)","-14"
"27","27","21","Ford Koch","Am","2","10:13.968",613968,"","","-","0","","","0","9","7.480","0","","Ford","Koch","","","2","43.978",43978,"51.535",51535,"52.857",52857,"Ford","Koch","","219073","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:7TRb1LITPMb5ypdSlAJi0","entries:events-2024-sro-sebring:7TRb1LITPMb5ypdSlAJi0","10837109","",9,"-18 (9 → 27)","-18"
"28","28","15","Bennett Muldoon","Am","","","","","","-","0","","","0","7","-","0","","Bennett","Muldoon","","","","","","","","","","Bennett","Muldoon","","219284","GR Cup","Toyota GR86","Bennett Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:yKzwd5mwlsHN-0y7nEzub","entries:events-2024-sro-sebring:yKzwd5mwlsHN-0y7nEzub","11530888","",7,"-21 (7 → 28)","-21"
"29","29","31","Luke Rumburg","Am","","","","","","-","0","","","0","13","-","0","","Luke","Rumburg","","","","","","","","","","Luke","Rumburg","","218701","GR Cup","Toyota GR86","RVA Graphics Motorsports by Speed Syndicate","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:Vvn2jHBuOCuMP6Fyqu7ub","entries:events-2024-sro-sebring:Vvn2jHBuOCuMP6Fyqu7ub","10783842","",13,"-16 (13 → 29)","-16"
