Pos;No.;Class;PIC;Driver1;Nat;CarName;TeamName;Laps;Time;Gap;Diff;KPH;BestLap;ON
1;71;Am;1;Christian Weir;USA;Toyota GR86;TechSport Racing;5;15:38.040;;;154.33;2:30.688;5
2;5;Am;2;Gresham Wagner;USA;Toyota GR86;Copeland Motorsports;5;15:19.908;0.107;0.107;154.22;2:30.795;2
3;99;Am;3;Jaxon Bell;USA;Toyota GR86;Copeland Motorsports;5;15:18.582;0.072;0.179;154.15;2:30.867;5
4;13;Am;4;Westin Workman;USA;Toyota GR86;Copeland Motorsports;5;15:18.484;0.206;0.385;153.94;2:31.073;4
5;55;Am;5;Spike Kohlbecker;USA;Toyota GR86;TechSport Racing;5;15:37.871;0.087;0.472;153.85;2:31.160;4
6;31;Am;6;Luke Rumburg;USA;Toyota GR86;RVA Graphics Motorsports by Speed Syndicate;5;15:38.976;0.033;0.505;153.81;2:31.193;4
7;57;Am;7;Mia Lovell;USA;Toyota GR86;Copeland Motorsports;5;15:24.136;0.066;0.571;153.75;2:31.259;3
8;18;Am;8;Jordan RickSegrini;USA;Toyota GR86;BSI Racing;5;15:22.541;0.086;0.657;153.66;2:31.345;5
9;22;Am;9;Devin Anderson;USA;Toyota GR86;TechSport Racing;5;15:48.481;0.334;0.991;153.32;2:31.679;5
10;46;Am;10;Lucas Weisenberg;USA;Toyota GR86;Lucas Racing;5;15:24.894;0.194;1.185;153.13;2:31.873;3
11;44;Am;11;Henry Drury;GBR;Toyota GR86;Precision Racing LA w/ PT Autosport;5;15:47.110;0.219;1.404;152.91;2:32.092;5
12;39;Am;12;Maximilian Hewitt;USA;Toyota GR86;BSI Racing;5;15:30.678;0.001;1.405;152.9;2:32.093;3
13;35;Am;13;Yuki Sano;JAP;Toyota GR86;BSI Racing;5;15:29.241;0.014;1.419;152.89;2:32.107;2
14;14;Am;14;Alex Garcia;USA;Toyota GR86;Skip Barber Racing;5;16:16.329;0.169;1.588;152.72;2:32.276;2
15;24;Am;15;Jade Avedisian;USA;Toyota GR86;Nitro Motorsports;5;15:34.859;0.124;1.712;152.6;2:32.400;3
16;36;Am;16;Kazuhisa Urabe;JAP;Toyota GR86;Precision Racing LA;5;15:48.509;0.146;1.858;152.45;2:32.546;5
17;21;Am;17;Ford Koch;USA;Toyota GR86;Eagles Canyon Racing powered by Fast Track;5;15:41.773;0.075;1.933;152.38;2:32.621;3
18;15;Am;18;Bennett Muldoon;USA;Toyota GR86;Bennett Motorsports;5;16:10.673;0.268;2.201;152.11;2:32.889;3
19;76;Am;19;Steven Clemons;USA;Toyota GR86;BSI Racing;5;15:42.407;0.190;2.391;151.92;2:33.079;4
20;50;Am;20;Casey Mashore;USA;Toyota GR86;Mashore Autobody;5;15:48.470;0.429;2.820;151.5;2:33.508;4
21;09;Am;21;Maddie Aust;USA;Toyota GR86;BSI Racing;5;15:40.493;0.106;2.926;151.39;2:33.614;3
22;11;Am;22;Farran Davis;USA;Toyota GR86;RVA Graphics Motorsports by Speed Syndicate;5;15:56.194;1.121;4.047;150.29;2:34.735;3
23;86;Am;23;Andrew Gilleland;USA;Toyota GR86;Eagles Canyon Racing powered by Fast Track;5;16:14.522;0.276;4.323;150.03;2:35.011;5
24;25;Am;24;Alfonso Diaz;PRI;Toyota GR86;TechSport Racing;5;16:04.258;0.226;4.549;149.81;2:35.237;2
25;61;Am;25;James Klimas;USA;Toyota GR86;Skip Barber Racing;5;16:45.543;1.126;5.675;148.73;2:36.363;5
26;20;Am;26;Ramon Llano;MEX;Toyota GR86;Eagles Canyon Racing powered by Fast Track;5;17:07.973;5.693;11.368;143.5;2:42.056;2
27;47;Am;27;Ayden Kirk;USA;Toyota GR86;TechSport Racing;;;;;;;0
