CLASS_TYPE;POS;PIC;NUMBER;TEAM;VEHICLE;DRIVER;TOTAL_LAPS;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH;
Am;1;1;16;Copeland Motorsports;Toyota GR86;John Dean;9;5;2:25.901;;;148.5;
Am;2;2;13;BSI Racing;Toyota GR86;Westin Workman;10;4;2:25.905;+0.004;+0.004;148.5;
Am;3;3;113;Nitro Motorsports;Toyota GR86;Ethan Tovo;10;4;2:26.057;+0.156;+0.152;148.4;
Am;4;4;72;TechSport;Toyota GR86;Ethan Goulart;9;4;2:26.075;+0.174;+0.018;148.3;
Am;5;5;7;Copeland Motorsports;Toyota GR86;Jaxon Bell;10;9;2:26.151;+0.250;+0.076;148.3;
Am;6;6;55;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Spike Kohlbecker;10;10;2:26.261;+0.360;+0.110;148.1;
Am;7;7;78;Nitro Motorsports;Toyota GR86;Ethan Ayars;10;4;2:26.297;+0.396;+0.036;148.1;
Am;8;8;46;Lucas Racing;Toyota GR86;Lucas Weisenberg;10;4;2:26.384;+0.483;+0.087;148.0;
Am;9;9;2;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Will Robusto;9;9;2:26.460;+0.559;+0.076;147.9;
Am;10;10;15;TechSport;Toyota GR86;Brett Kowalski;10;5;2:26.608;+0.707;+0.148;147.8;
Am;11;11;98;TechSport;Toyota GR86;Max Schweid;10;7;2:26.713;+0.812;+0.105;147.7;
Am;12;12;88;PT Autosport with Copeland Motorsports;Toyota GR86;Zach Hollingshead;10;4;2:27.046;+1.145;+0.333;147.4;
Am;13;13;31;Nitro Motorsports;Toyota GR86;Jackson Tovo;10;6;2:27.087;+1.186;+0.041;147.3;
Am;14;14;5;Copeland Motorsports;Toyota GR86;Beltre Curtis;10;4;2:27.188;+1.287;+0.101;147.2;
Am;15;15;41;Copeland Motorsports;Toyota GR86;Jenson Sofronas;10;10;2:27.454;+1.553;+0.266;146.9;
Am;16;16;21;Copeland Motorsports;Toyota GR86;Ford Koch;9;5;2:27.530;+1.629;+0.076;146.9;
Am;17;17;47;TechSport;Toyota GR86;Ayden Kirk;10;4;2:27.602;+1.701;+0.072;146.8;
Am;18;18;80;Nitro Motorsports;Toyota GR86;Paityn Feyen;8;6;2:27.742;+1.841;+0.140;146.7;
Am;19;19;03;Precision Racing LA;Toyota GR86;Karl Forman;10;10;2:28.437;+2.536;+0.695;146.0;
Am;20;20;51;BSI Racing;Toyota GR86;Massimo Sunseri;10;4;2:28.446;+2.545;+0.009;146.0;
Am;21;21;11;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Farran Davis;9;8;2:28.732;+2.831;+0.286;145.7;
Am;22;22;71;TechSport;Toyota GR86;Christian Weir;2;0;;;;;
