NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;IM1a_time;IM1a_elapsed;IM1_time;IM1_elapsed;IM2a_time;IM2a_elapsed;IM2_time;IM2_elapsed;IM3a_time;IM3a_elapsed;FL_time;FL_elapsed;
03;1;1;3:45.574;0;;2:19.928;0;50.181;0;35.465;0;84.0;3:45.574;08:43:45.574;2:19.928;0:50.181;0:35.465;;Karl Forman;0:01:26.099;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;139.928;50.181;35.465;;;;2:19.928;;;;3:10.109;;;;3:45.574;
03;1;2;2:09.265;0;;45.759;0;48.468;0;35.038;0;146.6;5:54.839;08:45:54.839;0:45.759;0:48.468;0:35.038;;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;45.759;48.468;35.038;;;;45.759;;;;1:34.227;;;;2:09.265;
03;1;3;2:08.983;0;;45.483;0;48.669;0;34.831;0;146.9;8:03.822;08:48:03.822;0:45.483;0:48.669;0:34.831;;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;45.483;48.669;34.831;;;;45.483;;;;1:34.152;;;;2:08.983;
03;1;4;2:08.121;2;;45.272;2;48.104;2;34.745;2;147.9;10:11.943;08:50:11.943;0:45.272;0:48.104;0:34.745;;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;45.272;48.104;34.745;;;;45.272;;;;1:33.376;;;;2:08.121;
03;1;5;2:08.579;0;;45.280;0;48.301;0;34.998;0;147.3;12:20.522;08:52:20.522;0:45.280;0:48.301;0:34.998;;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;45.280;48.301;34.998;;;;45.280;;;;1:33.581;;;;2:08.579;
03;1;6;2:08.967;0;;45.449;0;48.518;0;35.000;0;146.9;14:29.489;08:54:29.489;0:45.449;0:48.518;0:35.000;;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;45.449;48.518;35.000;;;;45.449;;;;1:33.967;;;;2:08.967;
111;1;1;2:30.555;0;;1:04.843;0;49.998;0;35.714;0;125.8;2:30.555;08:42:30.555;1:04.843;0:49.998;0:35.714;;Isabella Robusto;0:00:10.510;Am;;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;64.843;49.998;35.714;44.326;44.326;20.517;1:04.843;19.268;1:24.111;30.730;1:54.841;14.654;2:09.495;21.060;2:30.555;
111;1;2;2:08.868;0;;45.570;0;48.356;0;34.942;0;147.0;4:39.423;08:44:39.423;0:45.570;0:48.356;0:34.942;;Isabella Robusto;;Am;;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;45.570;48.356;34.942;25.827;25.827;19.743;45.570;18.880;1:04.450;29.476;1:33.926;13.888;1:47.814;21.054;2:08.868;
111;1;3;2:08.454;0;;45.535;0;48.088;0;34.831;0;147.5;6:47.877;08:46:47.877;0:45.535;0:48.088;0:34.831;;Isabella Robusto;;Am;;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;45.535;48.088;34.831;25.879;25.879;19.656;45.535;18.856;1:04.391;29.232;1:33.623;13.807;1:47.430;21.024;2:08.454;
111;1;4;2:08.317;0;;45.239;0;48.117;0;34.961;0;147.6;8:56.194;08:48:56.194;0:45.239;0:48.117;0:34.961;;Isabella Robusto;;Am;;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;45.239;48.117;34.961;25.581;25.581;19.658;45.239;18.833;1:04.072;29.284;1:33.356;13.915;1:47.271;21.046;2:08.317;
