Pos;No.;Class;PIC;Driver1;Nat;CarName;TeamName;Laps;Time;Gap;Diff;KPH;BestLap;ON
1;5;Am;1;Gresham Wagner;USA;Toyota GR86;Copeland Motorsports;20;46:55.250;;;148.93;2:07.210;6
2;13;Am;2;Westin Workman;USA;Toyota GR86;Copeland Motorsports;20;46:55.611;0.361;0.361;148.63;2:07.467;6
3;55;Am;3;Spike Kohlbecker;USA;Toyota GR86;TechSport Racing;20;46:55.819;0.208;0.569;148.52;2:07.558;4
4;39;Am;4;Maximilian Hewitt;USA;Toyota GR86;BSI Racing;20;46:56.297;0.478;1.047;148.54;2:07.543;2
5;47;Am;5;Ethan Goulart;USA;Toyota GR86;TechSport Racing;20;46:57.405;1.108;2.155;147.98;2:08.027;5
6;99;Am;6;Jaxon Bell;USA;Toyota GR86;Copeland Motorsports;20;46:58.373;0.968;3.123;148.16;2:07.872;5
7;51;Am;7;Zachary Hollingshead;USA;Toyota GR86;Copeland Motorsports;20;46:58.982;0.609;3.732;148.18;2:07.854;5
8;57;Am;8;Mia Lovell;USA;Toyota GR86;Copeland Motorsports;20;46:59.568;0.586;4.318;147.95;2:08.055;4
9;46;Am;9;Lucas Weisenberg;USA;Toyota GR86;Lucas Racing;20;47:00.804;1.236;5.554;148.65;2:07.444;7
10;18;Am;10;Jordan RickSegrini;USA;Toyota GR86;BSI Racing;20;47:01.350;0.546;6.100;147.98;2:08.023;4
11;71;Am;11;Christian Weir;USA;Toyota GR86;TechSport Racing;20;47:01.560;0.210;6.310;148.27;2:07.777;3
12;22;Am;12;Devin Anderson;USA;Toyota GR86;TechSport Racing;20;47:02.316;0.756;7.066;147.88;2:08.115;11
13;88;Am;13;Henry Drury;GBR;Toyota GR86;Precision Racing LA w/ PT Autosport;20;47:03.128;0.812;7.878;147.86;2:08.128;9
14;44;Am;14;Alex Sedgwick;GBR;Toyota GR86;Precision Racing LA;20;47:03.831;0.703;8.581;147.61;2:08.349;7
15;31;Am;15;Luke Rumburg;USA;Toyota GR86;RVA Graphics Motorsports by Speed Syndicate;20;47:04.688;0.857;9.438;147.44;2:08.490;4
16;24;Am;16;Jade Avedisian;USA;Toyota GR86;Nitro Motorsports;20;47:04.999;0.311;9.749;147.22;2:08.689;4
17;21;Am;17;Ford Koch;USA;Toyota GR86;Eagles Canyon Racing powered by Fast Track;20;47:05.576;0.577;10.326;146.73;2:09.120;2
18;50;Am;18;Casey Mashore;USA;Toyota GR86;Mashore Autobody;20;47:06.609;1.033;11.359;147.04;2:08.841;6
19;41;Am;19;Jenson Sofronas;USA;Toyota GR86;GMG Racing;20;47:07.693;1.084;12.443;147.6;2:08.352;6
20;15;Am;20;Bennett Muldoon;USA;Toyota GR86;Bennett Motorsports;20;47:08.264;0.571;13.014;147.12;2:08.772;4
21;75;Am;21;Anna Inotsume;JAP;Toyota GR86;Hattori Motorsports;20;47:08.855;0.591;13.605;147.35;2:08.570;8
22;80;Am;22;Tyler Wettengel;USA;Toyota GR86;Nitro Motorsports;20;47:09.384;0.529;14.134;148;2:08.008;4
23;09;Am;23;Maddie Aust;USA;Toyota GR86;BSI Racing;20;47:09.791;0.407;14.541;146.6;2:09.232;3
24;3;Am;24;Jason Kos;USA;Toyota GR86;Eagles Canyon Racing powered by Fast Track;20;47:10.500;0.709;15.250;145.92;2:09.829;3
25;30;Am;25;Jackson Tovo;USA;Toyota GR86;Nitro Motorsports;20;47:11.070;0.570;15.820;145.29;2:10.396;8
26;10;Am;26;Ethan Tovo;USA;Toyota GR86;Nitro Motorsports;20;47:12.953;1.883;17.703;146.21;2:09.576;5
27;11;Am;27;Farran Davis;USA;Toyota GR86;RVA Graphics Motorsports by Speed Syndicate;20;47:13.801;0.848;18.551;144.9;2:10.745;5
28;61;Am;28;James Klimas;USA;Toyota GR86;Skip Barber Racing;20;47:16.531;2.730;21.281;144.41;2:11.188;12
29;25;Am;29;Alfonso Diaz;PRI;Toyota GR86;TechSport Racing;20;47:17.247;0.716;21.997;146.25;2:09.537;8
30;34;Am;30;Braydon Arthur;CAN;Toyota GR86;JMF Motorsports;16;34:41.148;4 Laps;4 Laps;147.84;2:08.145;5
31;77;Am;31;William Lambros;USA;Toyota GR86;Skip Barber Racing;14;30:34.199;2 Laps;6 Laps;146.84;2:09.021;2
;76;Am;;Steven Clemons;USA;Toyota GR86;BSI Racing;8;17:19.453;6 Laps;12 Laps;147.68;2:08.288;4
;14;Am;;Alex Garcia;USA;Toyota GR86;Skip Barber Racing;6;18:55.611;2 Laps;14 Laps;148.76;2:07.351;4
