Pos;No.;Class;PIC;Driver1;Nat;CarName;TeamName;Laps;Time;Gap;Diff;KPH;BestLap;ON
1;55;Am;1;Spike Kohlbecker;USA;Toyota GR86;TechSport Racing;15;30:44.472;;;135.45;1:37.526;8
2;39;Am;2;Maximilian Hewitt;USA;Toyota GR86;BSI Racing;18;31:24.586;0.021;0.021;135.42;1:37.547;4
3;5;Am;3;Gresham Wagner;USA;Toyota GR86;Copeland Motorsports;4;8:48.443;0.011;0.032;135.4;1:37.558;3
4;18;Am;4;Jordan RickSegrini;USA;Toyota GR86;BSI Racing;18;31:29.013;0.022;0.054;135.37;1:37.580;16
5;11;Am;5;Will Robusto;USA;Toyota GR86;RVA Graphics Motorsports by Speed Syndicate;13;30:49.290;0.020;0.074;135.34;1:37.600;9
6;13;Am;6;Westin Workman;USA;Toyota GR86;Copeland Motorsports;16;31:25.423;0.159;0.233;135.12;1:37.759;16
7;21;Am;7;Ford Koch;USA;Toyota GR86;Eagles Canyon Racing powered by Fast Track;18;31:53.831;0.030;0.263;135.08;1:37.789;11
8;31;Am;8;Luke Rumburg;USA;Toyota GR86;RVA Graphics Motorsports by Speed Syndicate;15;30:02.628;0.168;0.431;134.85;1:37.957;9
9;99;Am;9;Jaxon Bell;USA;Toyota GR86;Copeland Motorsports;13;28:12.426;0.052;0.483;134.78;1:38.009;12
10;76;Am;10;Steven Clemons;USA;Toyota GR86;BSI Racing;17;29:48.672;0.011;0.494;134.76;1:38.020;17
11;46;Am;11;Lucas Weisenberg;USA;Toyota GR86;Lucas Racing;16;30:15.237;0.016;0.510;134.74;1:38.036;16
12;57;Am;12;Mia Lovell;USA;Toyota GR86;Copeland Motorsports;16;30:31.020;0.115;0.625;134.58;1:38.151;16
13;17;Am;13;Miles Hewitt;USA;Toyota GR86;BSI Racing;17;31:31.996;0.052;0.677;134.51;1:38.203;12
14;14;Am;14;Alex Garcia;USA;Toyota GR86;Skip Barber Racing;15;31:34.769;0.193;0.870;134.25;1:38.396;10
15;24;Am;15;Jade Avedisian;USA;Toyota GR86;Nitro Motorsports;18;31:58.708;0.018;0.888;134.22;1:38.414;14
16;22;Am;16;Devin Anderson;USA;Toyota GR86;TechSport Racing;15;29:37.924;0.044;0.932;134.16;1:38.458;14
17;88;Am;17;Henry Drury;GBR;Toyota GR86;Precision Racing LA w/ PT Autosport;18;31:44.691;0.013;0.945;134.14;1:38.471;11
18;30;Am;18;Jackson Tovo;USA;Toyota GR86;Nitro Motorsports;18;30:42.752;0.151;1.096;133.94;1:38.622;15
19;09;Am;19;Maddie Aust;USA;Toyota GR86;BSI Racing;18;30:20.705;0.035;1.131;133.89;1:38.657;15
20;50;Am;20;Casey Mashore;USA;Toyota GR86;Mashore Autobody;17;30:14.646;0.159;1.290;133.68;1:38.816;13
21;47;Am;21;Ayden Kirk;USA;Toyota GR86;TechSport Racing;17;31:04.735;1.077;2.367;132.24;1:39.893;17
22;25;Am;22;Alfonso Diaz;PRI;Toyota GR86;TechSport Racing;17;30:50.973;0.245;2.612;131.91;1:40.138;12
23;75;Am;23;Miki Onaga;JAP;Toyota GR86;Hattori Motorsports;16;32:08.654;0.043;2.655;131.86;1:40.181;15
24;3;Am;24;Jason Kos;USA;Toyota GR86;Eagles Canyon Racing powered by Fast Track;15;28:23.213;1.389;4.044;130.05;1:41.570;8
25;61;Am;25;James Klimas;USA;Toyota GR86;Skip Barber Racing;16;30:35.941;0.052;4.096;129.99;1:41.622;10
26;44;Am;26;Alex Sedgwick;GBR;Toyota GR86;Precision Racing LA;;;;;;;0
