Pos;No.;Class;PIC;Driver1;Nat;CarName;TeamName;Laps;Time;Gap;Diff;KPH;BestLap;ON
1;99;Am;1;Jaxon Bell;USA;Toyota GR86;Copeland Motorsports;11;31:56.622;;;132.84;2:28.717;11
2;5;Am;2;Gresham Wagner;USA;Toyota GR86;Copeland Motorsports;11;30:29.170;0.015;0.015;132.83;2:28.732;10
3;39;Am;3;Maximilian Hewitt;USA;Toyota GR86;BSI Racing;11;30:34.984;0.290;0.305;132.57;2:29.022;10
4;34;Am;4;Braydon Arthur;CAN;Toyota GR86;JMF Motorsports;11;32:09.612;0.196;0.501;132.4;2:29.218;9
5;55;Am;5;Spike Kohlbecker;USA;Toyota GR86;TechSport Racing;10;31:43.707;0.118;0.619;132.29;2:29.336;1
6;46;Am;6;Lucas Weisenberg;USA;Toyota GR86;Lucas Racing;10;30:17.338;0.041;0.660;132.26;2:29.377;3
7;76;Am;7;Steven Clemons;USA;Toyota GR86;BSI Racing;11;31:41.705;0.053;0.713;132.21;2:29.430;4
8;44;Am;8;Aidan Yoder;USA;Toyota GR86;Precision Racing LA;10;30:00.706;0.155;0.868;132.07;2:29.585;7
9;51;Am;9;Adam Brickley;USA;Toyota GR86;Copeland Motorsports;11;30:27.233;0.094;0.962;131.99;2:29.679;10
10;14;Am;10;Alex Garcia;USA;Toyota GR86;Skip Barber Racing;11;30:30.462;0.023;0.985;131.97;2:29.702;7
11;11;Am;11;Austin Dodge;USA;Toyota GR86;RVA Graphics Motorsports by Speed Syndicate;11;31:50.727;0.027;1.012;131.95;2:29.729;5
12;18;Am;12;Jordan RickSegrini;USA;Toyota GR86;BSI Racing;11;31:46.453;0.055;1.067;131.9;2:29.784;11
13;57;Am;13;Mia Lovell;USA;Toyota GR86;Copeland Motorsports;11;30:16.347;0.168;1.235;131.75;2:29.952;5
14;21;Am;14;Livio Galanti;USA;Toyota GR86;Eagles Canyon Racing powered by Fast Track;11;30:43.311;0.099;1.334;131.66;2:30.051;7
15;88;Am;15;Henry Drury;GBR;Toyota GR86;Precision Racing LA w/ PT Autosport;11;31:46.550;0.075;1.409;131.6;2:30.126;8
16;22;Am;16;Devin Anderson;USA;Toyota GR86;TechSport Racing;10;28:21.273;0.039;1.448;131.56;2:30.165;9
17;13;Am;17;Westin Workman;USA;Toyota GR86;Copeland Motorsports;11;30:52.661;0.155;1.603;131.43;2:30.320;6
18;09;Am;18;Maddie Aust;USA;Toyota GR86;BSI Racing;11;31:45.315;0.072;1.675;131.37;2:30.392;5
19;24;Am;19;Jade Avedisian;USA;Toyota GR86;Nitro Motorsports;10;30:50.752;0.005;1.680;131.36;2:30.397;4
20;77;Am;20;William Lambros;USA;Toyota GR86;Skip Barber Racing;10;30:55.044;0.005;1.685;131.36;2:30.402;9
21;80;Am;21;Tyler Wettengel;USA;Toyota GR86;Nitro Motorsports;10;30:14.657;0.018;1.703;131.34;2:30.420;2
22;50;Am;22;Casey Mashore;USA;Toyota GR86;Mashore Autobody;10;30:24.046;0.557;2.260;130.86;2:30.977;4
23;31;Am;23;Luke Rumburg;USA;Toyota GR86;RVA Graphics Motorsports by Speed Syndicate;10;30:33.017;0.032;2.292;130.83;2:31.009;2
24;47;Am;24;Ayden Kirk;USA;Toyota GR86;TechSport Racing;11;31:19.375;0.751;3.043;130.18;2:31.760;11
25;75;Am;25;Miki Onaga;JAP;Toyota GR86;Hattori Motorsports;11;31:53.188;0.128;3.171;130.07;2:31.888;6
26;3;Am;26;Jason Kos;USA;Toyota GR86;Eagles Canyon Racing powered by Fast Track;11;31:12.204;0.441;3.612;129.7;2:32.329;11
27;25;Am;27;Alfonso Diaz;PRI;Toyota GR86;TechSport Racing;11;31:14.331;0.341;3.953;129.41;2:32.670;10
28;61;Am;28;James Klimas;USA;Toyota GR86;Skip Barber Racing;10;30:37.488;1.038;4.991;128.53;2:33.708;3
29;86;Am;29;Andrew Gilleland;USA;Toyota GR86;Eagles Canyon Racing powered by Fast Track;11;31:36.045;0.436;5.427;128.17;2:34.144;8
30;20;Am;30;Ramon Llanos;MEX;Toyota GR86;Eagles Canyon Racing powered by Fast Track;10;30:23.993;5.282;10.709;123.92;2:39.426;4
31;15;Am;31;Bennett Muldoon;USA;Toyota GR86;Bennett Motorsports;;;;;;;0
