Pos;No.;Class;PIC;Driver1;Nat;CarName;TeamName;Laps;Time;Gap;Diff;KPH;BestLap;ON
1;5;Am;1;Gresham Wagner;USA;Toyota GR86;Copeland Motorsports;23;45:31.128;;;130.63;1:51.102;21
2;13;Am;2;Westin Workman;USA;Toyota GR86;Copeland Motorsports;23;45:31.737;0.609;0.609;130.33;1:51.355;16
3;46;Am;3;Lucas Weisenberg;USA;Toyota GR86;Lucas Racing;23;45:32.004;0.267;0.876;130.6;1:51.129;19
4;55;Am;4;Spike Kohlbecker;USA;Toyota GR86;TechSport Racing;23;45:32.343;0.339;1.215;130.28;1:51.398;21
5;99;Am;5;Jaxon Bell;USA;Toyota GR86;Copeland Motorsports;23;45:36.939;4.596;5.811;129.89;1:51.735;19
6;51;Am;6;Adam Brickley;USA;Toyota GR86;Copeland Motorsports;23;45:39.932;2.993;8.804;129.76;1:51.843;18
7;7;Am;7;Spencer Bucknum;USA;Toyota GR86;Precision Racing LA;23;45:48.844;8.912;17.716;129;1:52.505;18
8;39;Am;8;Maximilian Hewitt;USA;Toyota GR86;BSI Racing;23;45:49.665;0.821;18.537;128.97;1:52.526;8
9;44;Am;9;Aidan Yoder;USA;Toyota GR86;Precision Racing LA;23;45:50.385;0.720;19.257;128.9;1:52.592;8
10;21;Am;10;Ford Koch;USA;Toyota GR86;Eagles Canyon Racing powered by Fast Track;23;45:55.679;5.294;24.551;129.02;1:52.488;16
11;34;Am;11;Braydon Arthur;CAN;Toyota GR86;JMF Motorsports;23;45:56.261;0.582;25.133;128.91;1:52.584;20
12;88;Am;12;Henry Drury;GBR;Toyota GR86;Precision Racing LA w/ PT Autosport;23;45:56.867;0.606;25.739;128.87;1:52.614;19
13;80;Am;13;Tyler Wettengel;USA;Toyota GR86;Nitro Motorsports;23;45:59.759;2.892;28.631;128.92;1:52.571;17
14;77;Am;14;William Lambros;USA;Toyota GR86;Skip Barber Racing;23;46:00.409;0.650;29.281;128.54;1:52.906;17
15;76;Am;15;Steven Clemons;USA;Toyota GR86;BSI Racing;23;46:01.692;1.283;30.564;128.89;1:52.599;6
16;50;Am;16;Casey Mashore;USA;Toyota GR86;Mashore Autobody;23;46:02.393;0.701;31.265;128.23;1:53.178;20
17;89;Am;17;Livio Galanti;ITA;Toyota GR86;Eagles Canyon Racing powered by Fast Track;23;46:02.615;0.222;31.487;128.95;1:52.548;20
18;15;Am;18;Bennett Muldoon;USA;Toyota GR86;Bennett Motorsports;23;46:03.283;0.668;32.155;128.48;1:52.957;23
19;09;Am;19;Maddie Aust;USA;Toyota GR86;BSI Racing;23;46:06.937;3.654;35.809;129.21;1:52.323;16
20;3;Am;20;Jason Kos;USA;Toyota GR86;Eagles Canyon Racing powered by Fast Track;23;46:16.732;9.795;45.604;127.22;1:54.074;16
21;11;Am;21;Farran Davis;USA;Toyota GR86;RVA Graphics Motorsports by Speed Syndicate;23;46:19.532;2.800;48.404;127.34;1:53.975;18
22;31;Am;22;Luke Rumburg;USA;Toyota GR86;RVA Graphics Motorsports by Speed Syndicate;23;46:26.338;6.806;55.210;128.33;1:53.090;17
23;25;Am;23;Alfonso Diaz;PRI;Toyota GR86;TechSport Racing;23;46:27.366;1.028;56.238;126.83;1:54.431;5
24;61;Am;24;James Klimas;USA;Toyota GR86;Skip Barber Racing;23;46:38.064;10.698;1:06.936;126.14;1:55.053;22
25;57;Am;25;Mia Lovell;USA;Toyota GR86;Copeland Motorsports;23;46:40.641;2.577;1:09.513;129.18;1:52.346;7
26;14;Am;26;Alex Garcia;USA;Toyota GR86;Skip Barber Racing;23;46:51.070;10.429;1:19.942;128.78;1:52.699;23
27;43;Am;27;Alexandra Hainer;USA;Toyota GR86;Precision Racing LA;23;46:59.450;8.380;1:28.322;128.02;1:53.362;16
28;24;Am;28;Jade Avedisian;USA;Toyota GR86;Nitro Motorsports;8;16:08.985;15 Laps;15 Laps;128.78;1:52.698;7
29;22;Am;29;Devin Anderson;USA;Toyota GR86;TechSport Racing;8;16:09.067;0.082;15 Laps;129.47;1:52.098;7
