"Pos","PIC","#","Name","Class","Laps","Total Time","Total Time (ms)","Best Time","Best Time (ms)","Best Speed","Best Lap","Diff","Gap","Points","Start Pos","Total distance","Laps led","Startgrid Comment","First Name","Last Name","2nd Best Time","2nd Best Time (ms)","Pitstops","S1 Best Time","S1 Best Time (ms)","S2 Best Time","S2 Best Time (ms)","S3 Best Time","S3 Best Time (ms)","FirstName","LastName","Additional1","Additional2","Additional3","Additional4","Additional5","Additional6","Additional7","Additional8","CarRegistration","DriverRegistration","Transponder1","Transponder2","Start PIC","Pos Gained","Pos Gained Overall"
"12","12","14","Alex Garcia","Am","11","30:23.851",1823851,"2:29.845",149845,"81.925","9","1.374","0.167","0","6","37.510","9","","Alex","Garcia","2:30.220",150220,"2","32.424",32424,"56.932",56932,"59.880",59880,"Alex","Garcia","","219120","GR Cup","Toyota GR86","Skip Barber Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:PZXURr7q2oXLTJiA_zMYb","entries:events-2024-sro-cota:PZXURr7q2oXLTJiA_zMYb","15057570","",6,"-6 (6 → 12)","-6"
"13","13","46","Lucas Weisenberg","Am","9","30:00.713",1800713,"2:29.950",149950,"81.867","9","1.479","0.105","0","18","30.690","0","","Lucas","Weisenberg","2:30.106",150106,"2","32.660",32660,"57.475",57475,"59.572",59572,"Lucas","Weisenberg","","219272","GR Cup","Toyota GR86","Lucas Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:_vSMjpo8H_5GBfjgHyGUE","entries:events-2024-sro-cota:_vSMjpo8H_5GBfjgHyGUE","12208074","",18,"5 (18 → 13)","5"
"14","14","18","Jordan RickSegrini","Am","11","32:27.999",1947999,"2:29.956",149956,"81.864","10","1.485","0.006","0","8","37.510","0","","Jordan","RickSegrini","2:30.052",150052,"1","32.665",32665,"57.326",57326,"59.848",59848,"Jordan","RickSegrini","","219283","GR Cup","Toyota GR86","BSI Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:NQaU9Oqhp5E8H63oir4LL","entries:events-2024-sro-cota:NQaU9Oqhp5E8H63oir4LL","12415550","",8,"-6 (8 → 14)","-6"
"15","15","21","Livio Galanti","Am","11","30:47.526",1847526,"2:30.068",150068,"81.803","11","1.597","0.112","0","10","37.510","0","","Livio","Galanti","2:30.143",150143,"","32.549",32549,"56.735",56735,"59.947",59947,"Livio","Galanti","","219073","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:FSkNzdfan_qDMuUZx1bCb","entries:events-2024-sro-cota:FSkNzdfan_qDMuUZx1bCb","11765029","",10,"-5 (10 → 15)","-5"
"16","16","44","Aidan Yoder","Am","10","30:39.681",1839681,"2:30.201",150201,"81.730","9","1.730","0.133","0","17","34.100","0","","Aidan","Yoder","2:30.971",150971,"1","32.712",32712,"57.252",57252,"1:00.207",60207,"Aidan","Yoder","","219270","GR Cup","Toyota GR86","Precision Racing LA","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:CM9JG4N8gKc_YD4xA2mUh","entries:events-2024-sro-cota:CM9JG4N8gKc_YD4xA2mUh","14864382","",17,"1 (17 → 16)","1"
"17","17","50","Casey Mashore","Am","11","31:50.972",1910972,"2:30.507",150507,"81.564","7","2.036","0.306","0","20","37.510","0","","Casey","Mashore","2:30.546",150546,"1","32.547",32547,"57.106",57106,"1:00.434",60434,"Casey","Mashore","","219242","GR Cup","Toyota GR86","Mashore Autobody","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:ihP6wQdnDxrAMGDKI0n_-","entries:events-2024-sro-cota:ihP6wQdnDxrAMGDKI0n_-","10127188","",20,"3 (20 → 17)","3"
"18","18","09","Maddie Aust","Am","11","30:48.314",1848314,"2:30.726",150726,"81.446","9","2.255","0.219","0","3","37.510","0","","Maddie","Aust","2:30.793",150793,"","32.677",32677,"57.366",57366,"1:00.010",60010,"Maddie","Aust","","218788","GR Cup","Toyota GR86","BSI Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:_QDYhJUB-wE8M4RS8zjqw","entries:events-2024-sro-cota:_QDYhJUB-wE8M4RS8zjqw","14061566","",3,"-15 (3 → 18)","-15"
"19","19","88","Henry Drury","Am","11","31:50.522",1910522,"2:31.061",151061,"81.265","5","2.590","0.335","0","30","37.510","0","","Henry","Drury","2:31.437",151437,"","33.047",33047,"57.503",57503,"1:00.348",60348,"Henry","Drury","","219218","GR Cup","Toyota GR86","Precision Racing LA w/ PT Autosport","Toyota Gazoo Racing","GBR","","entries:events-2024-sro-cota:7OJg2Yd03D0Yj02D9afYt","entries:events-2024-sro-cota:7OJg2Yd03D0Yj02D9afYt","13339178","",30,"11 (30 → 19)","11"
"20","20","77","William Lambros","Am","10","30:42.461",1842461,"2:31.408",151408,"81.079","10","2.937","0.347","0","27","34.100","0","","William","Lambros","2:31.453",151453,"1","32.728",32728,"57.575",57575,"1:00.399",60399,"William","Lambros","","219145","GR Cup","Toyota GR86","Skip Barber Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:6CAGIXjLdXcD1QPpS2LD-","entries:events-2024-sro-cota:6CAGIXjLdXcD1QPpS2LD-","15422081","",27,"7 (27 → 20)","7"
"21","21","80","Tyler Wettengel","Am","10","29:14.003",1754003,"2:31.416",151416,"81.075","3","2.945","0.008","0","28","34.100","0","","Tyler","Wettengel","2:31.476",151476,"1","32.837",32837,"57.385",57385,"1:00.467",60467,"Tyler","Wettengel","","219101","GR Cup","Toyota GR86","Nitro Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:eVMfepJbzxsZ69eyOZOYk","entries:events-2024-sro-cota:eVMfepJbzxsZ69eyOZOYk","15012542","",28,"7 (28 → 21)","7"
"22","22","24","Jade Avedisian","Am","11","31:04.268",1864268,"2:31.482",151482,"81.039","8","3.011","0.066","0","12","37.510","0","","Jade","Avedisian","2:31.626",151626,"","32.811",32811,"57.004",57004,"1:00.611",60611,"Jade","Avedisian","","219104","GR Cup","Toyota GR86","Nitro Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:zneEhSIHSC6v1bYuVZFCG","entries:events-2024-sro-cota:zneEhSIHSC6v1bYuVZFCG","10544198","",12,"-10 (12 → 22)","-10"
"23","23","25","Alfonso Diaz","Am","11","31:23.011",1883011,"2:32.599",152599,"80.446","7","4.128","1.117","0","13","37.510","0","","Alfonso","Diaz","2:33.553",153553,"","33.305",33305,"58.281",58281,"1:01.005",61005,"Alfonso","Diaz","","219082","GR Cup","Toyota GR86","TechSport Racing","Toyota Gazoo Racing","PRI","","entries:events-2024-sro-cota:GrInyKtAxuH3-4UJS_r5W","entries:events-2024-sro-cota:GrInyKtAxuH3-4UJS_r5W","13583245","",13,"-10 (13 → 23)","-10"
"24","24","47","Ayden Kirk","Am","11","31:27.734",1887734,"2:33.023",153023,"80.223","7","4.552","0.424","0","19","37.510","0","","Ayden","Kirk","2:33.253",153253,"","33.291",33291,"58.113",58113,"1:01.339",61339,"Ayden","Kirk","","","GR Cup","Toyota GR86","TechSport Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:jS74YkVJcFzPnN7BZMXRD","entries:events-2024-sro-cota:jS74YkVJcFzPnN7BZMXRD","11286329","",19,"-5 (19 → 24)","-5"
"25","25","3","Jason Kos","Am","11","31:25.670",1885670,"2:33.286",153286,"80.086","5","4.815","0.263","0","1","37.510","0","","Jason","Kos","2:33.342",153342,"","33.572",33572,"58.096",58096,"1:00.954",60954,"Jason","Kos","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln","entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln","11191062","",1,"-24 (1 → 25)","-24"
"26","26","61","James Klimas","Am","10","31:50.725",1910725,"2:36.177",156177,"78.603","9","7.706","2.891","0","24","34.100","0","","James","Klimas","2:37.679",157679,"1","34.042",34042,"59.091",59091,"1:02.787",62787,"James","Klimas","","219118","GR Cup","Toyota GR86","Skip Barber Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:4g-bMzXlrE5s2lQ5fJ9MP","entries:events-2024-sro-cota:4g-bMzXlrE5s2lQ5fJ9MP","12079696","",24,"-2 (24 → 26)","-2"
"27","27","20","Ramon Llanos","Am","10","30:38.293",1838293,"2:39.989",159989,"76.730","8","11.518","3.812","0","9","34.100","0","","Ramon","Llanos","2:40.887",160887,"","35.246",35246,"1:00.864",60864,"1:03.789",63789,"Ramon","Llanos","","","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","MEX","","entries:events-2024-sro-cota:I0LA1Bqphwyy78FYKBU9e","entries:events-2024-sro-cota:I0LA1Bqphwyy78FYKBU9e","14496123","",9,"-18 (9 → 27)","-18"
"28","28","15","Bennett Muldoon","Am","","","","","","-","0","","","0","7","-","0","","Bennett","Muldoon","","","","","","","","","","Bennett","Muldoon","","219284","GR Cup","Toyota GR86","Bennett Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:WPjVvKgIe9KnfoKn03dfJ","entries:events-2024-sro-cota:WPjVvKgIe9KnfoKn03dfJ","11530888","",7,"-21 (7 → 28)","-21"
"29","29","31","Luke Rumburg","Am","","","","","","-","0","","","0","14","-","0","","Luke","Rumburg","","","","","","","","","","Luke","Rumburg","","218701","GR Cup","Toyota GR86","RVA Graphics Motorsports by Speed Syndicate","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:FAq1oeKnRxcHLMNhlaOVO","entries:events-2024-sro-cota:FAq1oeKnRxcHLMNhlaOVO","10783842","",14,"-15 (14 → 29)","-15"
"30","30","75","Miki Onaga","Am","","","","","","-","0","","","0","25","-","0","","Miki","Onaga","","","","","","","","","","Miki","Onaga","","","GR Cup","Toyota GR86","Hattori Motorsports","Toyota Gazoo Racing","JAP","","entries:events-2024-sro-cota:eZb9v6bRgP2OwPM5DL3VA","entries:events-2024-sro-cota:eZb9v6bRgP2OwPM5DL3VA","","",25,"-5 (25 → 30)","-5"
"31","31","86","Andrew Gilleland","Am","","","","","","-","0","","","0","29","-","0","","Andrew","Gilleland","","","","","","","","","","Andrew","Gilleland","","","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:SpPtwdoW5tDw-PUWS3t0O","entries:events-2024-sro-cota:SpPtwdoW5tDw-PUWS3t0O","16239460","",29,"-2 (29 → 31)","-2"
