"Series","Class","No.","Best Lap 1","Best Lap 2","Best Lap 3","Best Lap 4","Best Lap 5","Best Lap 6","Best Lap 7","Best Lap 8","Best Lap 9","Best Lap 10","Average Best Time"
"GR Cup","Am","3","2:33.286","2:33.342","2:33.355","2:33.503","2:33.592","2:33.849","2:34.033","2:34.297","2:34.897","2:35.597","02:33.975"
"GR Cup","Am","5","2:29.150","2:29.358","2:31.353","2:41.249","2:44.577","2:52.828","","","","","02:38.086"
"GR Cup","Am","09","2:30.726","2:30.740","2:30.793","2:30.849","2:31.270","2:31.484","2:31.618","2:32.417","2:32.460","2:34.072","02:31.643"
"GR Cup","Am","11","2:29.452","2:30.483","2:30.755","2:30.827","2:31.465","2:31.757","2:31.961","2:34.262","2:37.523","2:50.286","02:33.877"
"GR Cup","Am","13","2:28.566","2:28.636","2:28.772","2:28.942","2:29.188","2:29.643","2:31.119","2:33.713","2:39.102","2:50.267","02:32.795"
"GR Cup","Am","14","2:29.845","2:30.220","2:30.403","2:32.808","2:33.566","2:34.299","2:36.265","2:37.836","2:42.270","3:10.308","02:37.782"
"GR Cup","Am","18","2:29.956","2:30.052","2:30.091","2:30.330","2:30.456","2:30.873","2:31.140","2:32.062","2:32.520","2:36.745","02:31.423"
"GR Cup","Am","20","2:39.989","2:40.887","2:41.287","2:41.641","2:42.422","2:43.225","2:43.615","2:45.948","2:46.293","2:47.547","02:43.285"
"GR Cup","Am","21","2:30.068","2:30.143","2:30.250","2:30.445","2:30.712","2:30.920","2:31.265","2:31.596","2:32.194","2:32.326","02:30.992"
"GR Cup","Am","22","2:29.270","2:29.501","2:29.511","2:30.333","2:30.336","2:31.766","2:32.012","2:32.753","2:34.452","2:37.114","02:31.705"
"GR Cup","Am","24","2:30.812","2:31.482","2:31.626","2:31.727","2:32.136","2:32.230","2:32.433","2:33.531","2:33.540","2:35.180","02:32.470"
"GR Cup","Am","25","2:32.599","2:33.553","2:33.555","2:33.750","2:33.827","2:33.891","2:33.902","2:35.203","2:35.514","2:35.538","02:34.133"
"GR Cup","Am","34","2:28.892","2:29.068","2:29.145","2:29.201","2:29.435","2:29.563","2:29.806","2:35.952","2:38.524","2:44.719","02:32.431"
"GR Cup","Am","39","2:29.573","2:29.645","2:30.083","2:30.190","2:30.618","2:30.838","2:31.386","2:31.436","2:32.112","2:38.318","02:31.420"
"GR Cup","Am","44","2:30.201","2:30.971","2:31.050","2:31.339","2:31.447","2:31.715","2:32.887","2:33.310","2:34.566","4:04.668","02:41.215"
"GR Cup","Am","46","2:29.950","2:30.106","2:30.194","2:30.378","2:31.210","2:36.168","2:36.285","4:27.372","4:59.705","","03:01.263"
"GR Cup","Am","47","2:33.023","2:33.253","2:33.738","2:33.745","2:33.827","2:33.938","2:34.174","2:34.577","2:35.616","2:36.160","02:34.205"
"GR Cup","Am","50","2:30.507","2:30.546","2:30.672","2:30.719","2:30.992","2:31.813","2:32.261","2:32.663","2:33.051","2:38.372","02:32.160"
"GR Cup","Am","51","2:29.467","2:29.640","2:29.643","2:29.900","2:30.060","2:30.215","2:30.617","2:30.799","2:31.655","2:31.956","02:30.395"
"GR Cup","Am","55","2:28.471","2:28.998","2:29.299","2:29.527","2:29.916","2:29.925","2:31.660","2:33.215","2:34.090","5:03.808","02:45.891"
"GR Cup","Am","57","2:29.678","2:29.683","2:31.022","2:31.084","2:31.785","2:33.007","2:35.931","2:36.032","2:37.667","4:44.039","02:45.993"
"GR Cup","Am","61","2:36.177","2:37.679","2:37.855","2:38.672","2:40.478","2:42.829","2:44.438","2:46.213","2:46.824","4:10.323","02:50.149"
"GR Cup","Am","76","2:29.150","2:30.065","2:30.255","2:30.328","2:30.612","2:30.818","2:31.494","2:32.094","2:33.176","2:35.900","02:31.389"
"GR Cup","Am","77","2:31.408","2:31.453","2:31.486","2:31.613","2:31.986","2:32.101","2:32.949","2:35.898","2:38.686","4:29.448","02:44.703"
"GR Cup","Am","80","2:31.321","2:31.416","2:31.476","2:31.520","2:32.035","2:32.313","2:32.331","2:32.925","2:35.409","2:42.059","02:33.281"
"GR Cup","Am","88","2:31.061","2:31.437","2:32.017","2:32.079","2:32.238","2:32.468","2:32.778","2:32.929","2:33.262","2:34.632","02:32.490"
"GR Cup","Am","99","2:28.703","2:28.880","2:29.107","2:29.266","2:29.306","2:29.713","2:30.034","2:32.142","2:35.750","2:40.601","02:31.350"
