"Series","Class","No.","Best Lap 1","Best Lap 2","Best Lap 3","Best Lap 4","Best Lap 5","Best Lap 6","Best Lap 7","Best Lap 8","Best Lap 9","Best Lap 10","Average Best Time"
"GR Cup","Am","3","2:18.293","2:18.398","2:18.648","2:20.080","2:20.499","2:21.286","2:21.399","2:21.524","2:22.266","2:22.639","02:20.503"
"GR Cup","Am","5","2:13.105","2:13.110","2:13.777","2:14.022","2:15.286","2:16.314","2:16.781","2:16.819","2:16.827","2:17.413","02:15.345"
"GR Cup","Am","09","2:15.791","2:16.214","2:16.321","2:17.016","2:17.456","2:17.489","2:17.856","2:17.899","2:19.260","2:19.308","02:17.461"
"GR Cup","Am","10","2:21.432","2:22.395","2:23.026","2:26.546","2:27.046","2:29.109","2:36.489","3:28.631","","","02:34.334"
"GR Cup","Am","11","2:16.550","2:17.632","2:17.687","2:18.486","2:19.339","2:19.476","2:19.520","2:19.776","2:21.612","2:21.627","02:19.171"
"GR Cup","Am","13","2:13.352","2:13.606","2:13.779","2:14.828","2:15.433","2:16.438","2:17.053","2:17.339","2:17.932","2:17.965","02:15.773"
"GR Cup","Am","14","2:15.910","2:17.048","2:17.081","2:17.459","2:17.987","2:18.764","2:18.909","2:18.939","2:19.026","2:19.852","02:18.098"
"GR Cup","Am","15","2:15.854","2:16.299","2:16.621","2:17.567","2:17.823","2:18.918","2:19.792","2:19.944","2:20.064","2:20.209","02:18.309"
"GR Cup","Am","18","2:15.248","2:16.015","2:16.338","2:16.678","2:17.392","2:17.435","2:17.729","2:17.982","2:18.365","2:18.650","02:17.183"
"GR Cup","Am","21","2:12.993","2:13.335","2:14.020","2:19.493","2:20.141","2:21.285","2:21.486","2:21.637","2:21.721","2:22.072","02:18.818"
"GR Cup","Am","24","2:16.494","2:16.636","2:16.929","2:17.455","2:17.558","2:17.862","2:17.939","2:18.287","2:18.629","2:19.182","02:17.697"
"GR Cup","Am","25","2:15.578","2:15.923","2:17.182","2:17.484","2:17.582","2:18.352","2:18.463","2:18.772","2:18.830","2:18.854","02:17.702"
"GR Cup","Am","30","2:18.986","2:19.114","2:19.995","2:20.256","2:20.962","2:21.078","2:21.753","2:21.758","2:22.515","2:22.687","02:20.910"
"GR Cup","Am","31","2:14.315","2:15.334","2:16.326","2:17.091","2:17.595","2:18.212","2:18.474","2:18.672","2:19.315","2:19.881","02:17.522"
"GR Cup","Am","34","2:15.066","2:16.280","2:16.701","2:17.321","2:17.565","2:17.891","2:18.574","2:18.701","2:18.797","2:19.101","02:17.600"
"GR Cup","Am","39","2:14.886","2:15.657","2:15.810","2:16.995","2:17.298","2:17.364","2:17.732","2:18.043","2:18.059","2:18.246","02:17.009"
"GR Cup","Am","41","2:16.127","2:16.129","2:16.530","2:17.515","2:17.713","2:18.611","2:18.669","2:18.984","2:19.542","2:19.591","02:17.941"
"GR Cup","Am","44","2:13.147","2:13.943","2:14.203","2:14.990","2:15.036","2:15.809","2:17.190","2:17.398","2:17.412","2:17.435","02:15.656"
"GR Cup","Am","46","2:13.951","2:14.657","2:14.846","2:15.722","2:15.839","2:16.094","2:16.809","2:17.157","2:17.383","2:17.822","02:16.028"
"GR Cup","Am","47","2:17.245","2:17.571","2:17.905","2:17.963","2:18.788","2:19.585","3:38.626","","","","02:29.669"
"GR Cup","Am","50","2:15.521","2:16.180","2:16.652","2:17.013","2:17.300","2:17.414","2:17.806","2:17.987","2:18.505","2:18.788","02:17.317"
"GR Cup","Am","51","2:15.627","2:15.898","2:16.693","2:16.741","2:17.273","2:17.710","2:18.069","2:18.250","2:18.959","2:19.409","02:17.463"
"GR Cup","Am","55","2:12.971","2:13.385","2:13.729","2:14.891","2:15.688","2:16.153","2:16.400","2:16.588","2:17.085","2:17.381","02:15.427"
"GR Cup","Am","57","2:15.646","2:15.717","2:15.781","2:16.555","2:17.023","2:17.748","2:17.862","2:18.264","2:18.325","2:18.467","02:17.139"
"GR Cup","Am","61","2:19.108","2:19.365","2:19.861","2:21.107","2:22.324","2:22.577","2:22.660","2:23.066","2:23.464","2:23.475","02:21.701"
"GR Cup","Am","71","2:15.645","2:16.002","2:16.592","2:17.125","2:17.362","2:17.418","2:18.055","2:18.578","2:18.732","2:18.949","02:17.446"
"GR Cup","Am","75","2:16.356","2:16.901","2:17.400","2:18.754","2:19.932","2:20.264","2:20.422","2:20.756","2:20.886","2:21.107","02:19.278"
"GR Cup","Am","76","2:13.713","2:14.631","2:15.174","2:15.608","2:15.839","2:16.613","2:16.865","2:17.200","2:17.425","2:17.549","02:16.062"
"GR Cup","Am","77","2:15.116","2:15.177","2:15.785","2:16.884","2:17.323","2:17.372","2:17.477","2:17.654","2:18.021","2:18.343","02:16.915"
"GR Cup","Am","80","2:14.860","2:15.500","2:15.660","2:16.808","2:17.202","2:17.726","2:18.222","2:18.618","2:18.937","2:19.284","02:17.282"
"GR Cup","Am","88","2:16.458","2:17.009","2:17.527","2:17.929","2:18.208","2:19.024","2:19.971","2:20.642","2:22.075","3:31.243","02:26.009"
"GR Cup","Am","99","2:13.217","2:13.385","2:13.490","2:14.953","2:15.792","2:16.493","2:17.049","2:17.266","2:17.363","2:17.536","02:15.654"
