"Series","Class","No.","Best Lap 1","Best Lap 2","Best Lap 3","Best Lap 4","Best Lap 5","Best Lap 6","Best Lap 7","Best Lap 8","Best Lap 9","Best Lap 10","Average Best Time"
"GR Cup","Am","3","1:38.679","1:38.891","1:39.011","1:39.271","1:40.097","1:56.570","2:17.179","","","","01:47.100"
"GR Cup","Am","5","1:36.698","1:37.031","1:37.169","1:37.345","1:38.471","1:38.535","1:39.936","1:44.505","2:05.907","","01:41.733"
"GR Cup","Am","09","1:38.426","1:38.567","1:38.680","1:38.824","1:38.847","1:38.921","1:39.638","1:51.333","","","01:40.405"
"GR Cup","Am","11","1:37.285","1:37.489","1:37.495","1:38.238","1:38.266","1:38.845","1:44.305","1:54.227","2:00.470","","01:42.958"
"GR Cup","Am","13","1:36.567","1:36.767","1:36.821","1:37.888","1:37.997","1:47.141","2:07.517","","","","01:42.957"
"GR Cup","Am","14","1:37.971","1:38.084","1:38.279","1:38.319","1:38.330","1:38.442","1:45.787","1:52.723","2:08.562","","01:44.055"
"GR Cup","Am","17","1:37.904","1:38.110","1:38.267","1:38.358","1:38.491","1:38.522","1:38.603","1:38.744","1:50.857","","01:39.762"
"GR Cup","Am","18","1:37.109","1:37.246","1:37.571","1:37.588","1:37.754","1:40.946","1:41.736","1:43.136","1:50.336","","01:40.380"
"GR Cup","Am","21","1:37.361","1:37.757","1:37.785","1:37.798","1:37.842","1:37.863","1:41.763","1:57.809","2:06.031","","01:43.557"
"GR Cup","Am","22","1:37.537","1:37.609","1:37.749","1:37.974","1:38.675","1:40.221","2:50.001","","","","01:48.538"
"GR Cup","Am","24","1:37.471","1:37.763","1:37.914","1:37.988","1:38.206","1:38.596","1:39.234","1:55.453","2:00.855","","01:42.609"
"GR Cup","Am","25","1:38.612","1:38.868","1:38.933","1:38.950","1:39.028","1:39.186","1:40.106","2:10.488","","","01:43.021"
"GR Cup","Am","30","1:37.889","1:38.103","1:38.414","1:38.416","1:38.498","1:39.439","1:40.157","2:00.156","2:01.982","","01:43.673"
"GR Cup","Am","31","1:38.239","1:38.593","1:38.626","1:38.755","1:39.073","1:39.548","1:39.919","1:41.802","2:01.805","2:13.790","01:45.015"
"GR Cup","Am","39","1:37.349","1:37.452","1:37.505","1:37.508","1:37.515","1:37.923","1:37.938","1:42.771","1:49.681","","01:39.516"
"GR Cup","Am","46","1:36.850","1:36.902","1:37.279","1:37.301","1:58.866","8:52.289","","","","","02:53.248"
"GR Cup","Am","47","1:37.492","1:37.828","1:37.906","1:37.959","1:37.974","1:38.214","1:38.287","1:38.408","2:10.419","","01:41.610"
"GR Cup","Am","50","1:37.786","1:38.381","1:39.060","1:39.335","1:39.538","1:48.833","1:52.683","3:29.587","","","01:55.650"
"GR Cup","Am","55","1:36.520","1:36.699","1:36.841","1:36.910","1:36.924","1:37.051","1:37.809","1:43.707","2:01.694","","01:40.462"
"GR Cup","Am","57","1:37.277","1:37.424","1:37.426","1:37.833","1:37.963","1:41.023","1:42.828","1:45.296","2:15.722","","01:43.644"
"GR Cup","Am","61","1:40.263","1:41.072","1:42.776","1:43.085","1:43.348","1:45.302","1:46.200","1:46.471","2:09.672","","01:46.465"
"GR Cup","Am","75","1:38.293","1:38.298","1:38.528","1:38.720","1:38.905","1:39.213","1:39.280","1:43.067","1:58.312","2:15.366","01:44.798"
"GR Cup","Am","76","1:37.267","1:37.414","1:37.755","1:37.786","1:37.882","1:38.497","1:38.603","1:39.529","1:51.299","","01:39.559"
"GR Cup","Am","88","1:37.657","1:38.127","1:38.905","1:40.610","1:40.684","1:40.967","1:42.730","1:58.528","","","01:42.276"
"GR Cup","Am","99","1:37.295","1:37.308","1:37.380","1:37.422","1:37.502","1:37.652","1:40.289","1:43.627","2:08.322","","01:41.866"
