NUMBER;TEAM;VEHICLE;CLASS;FIRSTNAME;SECONDNAME;TOTAL_DRIVER_LAPS;BESTLAP_1;BESTLAP_1_LAPNUM;BESTLAP_2;BESTLAP_2_LAPNUM;BESTLAP_3;BESTLAP_3_LAPNUM;BESTLAP_4;BESTLAP_4_LAPNUM;BESTLAP_5;BESTLAP_5_LAPNUM;BESTLAP_6;BESTLAP_6_LAPNUM;BESTLAP_7;BESTLAP_7_LAPNUM;BESTLAP_8;BESTLAP_8_LAPNUM;BESTLAP_9;BESTLAP_9_LAPNUM;BESTLAP_10;BESTLAP_10_LAPNUM;AVERAGE;
2;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Am;Will;Robusto;12;2:25.305;9;2:25.475;5;2:25.803;8;2:25.854;12;2:26.046;3;2:26.350;11;2:26.615;10;2:28.900;4;2:29.919;2;;0;2:26.696;
03;Precision Racing LA;Toyota GR86;Am;Karl;Forman;12;2:28.161;12;2:28.350;11;2:28.611;10;2:28.635;9;2:28.950;8;2:28.959;5;2:29.644;7;2:29.671;4;2:29.716;3;2:30.019;6;2:29.071;
5;Copeland Motorsports;Toyota GR86;Am;Beltre;Curtis;13;2:26.620;5;2:26.726;8;2:27.053;3;2:27.178;2;2:27.335;6;2:27.404;9;2:27.469;12;2:27.589;7;2:27.898;11;2:30.067;10;2:27.533;
7;Copeland Motorsports;Toyota GR86;Am;Jaxon;Bell;9;2:23.742;3;2:23.887;4;2:23.949;5;2:25.256;2;2:31.287;8;;0;;0;;0;;0;;0;2:25.624;
11;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Am;Farran;Davis;12;2:27.459;4;2:28.092;3;2:28.355;2;2:28.380;8;2:28.526;11;2:28.555;9;2:28.623;5;2:28.830;12;2:29.871;7;2:30.088;6;2:28.677;
13;BSI Racing;Toyota GR86;Am;Westin;Workman;11;2:24.333;4;2:24.415;3;2:24.747;9;2:25.040;10;2:25.176;2;2:27.801;5;2:27.831;6;;0;;0;;0;2:25.620;
15;TechSport;Toyota GR86;Am;Brett;Kowalski;10;2:25.851;5;2:26.458;3;2:27.217;2;2:29.720;4;2:34.891;8;;0;;0;;0;;0;;0;2:28.827;
16;Copeland Motorsports;Toyota GR86;Am;John;Dean;10;2:24.615;6;2:24.838;3;2:25.398;2;2:25.517;9;2:31.424;4;2:32.838;5;;0;;0;;0;;0;2:27.438;
21;Copeland Motorsports;Toyota GR86;Am;Ford;Koch;12;2:26.017;5;2:26.433;10;2:26.472;12;2:26.556;4;2:26.558;3;2:26.876;11;2:27.003;9;2:27.088;2;2:27.197;6;;0;2:26.688;
31;Nitro Motorsports;Toyota GR86;Am;Jackson;Tovo;11;2:26.860;4;2:27.256;3;2:27.610;11;2:27.860;2;2:28.084;5;2:28.170;10;2:30.160;6;2:30.671;7;;0;;0;2:28.333;
41;Copeland Motorsports;Toyota GR86;Am;Jenson;Sofronas;12;2:25.667;12;2:26.041;5;2:26.222;7;2:26.421;6;2:26.523;8;2:26.615;3;2:26.687;10;2:26.755;9;2:27.427;11;2:27.641;4;2:26.599;
46;Lucas Racing;Toyota GR86;Am;Lucas;Weisenberg;11;2:25.421;6;2:25.567;4;2:25.651;5;2:25.839;3;2:26.735;11;2:26.739;2;;0;;0;;0;;0;2:25.992;
47;TechSport;Toyota GR86;Am;Ayden;Kirk;12;2:27.274;11;2:27.465;6;2:27.739;8;2:27.740;12;2:28.041;5;2:28.234;4;2:29.012;3;2:30.769;7;2:34.979;2;;0;2:29.028;
51;BSI Racing;Toyota GR86;Am;Massimo;Sunseri;11;2:27.256;4;2:27.887;5;2:28.190;6;2:28.570;3;2:28.670;10;2:28.894;11;2:30.096;2;2:32.466;9;;0;;0;2:29.003;
55;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Am;Spike;Kohlbecker;11;2:25.060;11;2:25.143;2;2:25.161;5;2:25.228;9;2:25.919;8;2:26.958;3;2:30.044;4;2:31.410;10;;0;;0;2:26.865;
71;TechSport;Toyota GR86;Am;Christian;Weir;12;2:25.920;5;2:25.986;9;2:26.075;6;2:26.119;4;2:26.392;10;2:26.632;11;2:26.688;3;2:33.529;2;;0;;0;2:27.167;
72;TechSport;Toyota GR86;Am;Ethan;Goulart;9;2:24.998;6;2:25.194;4;2:25.448;5;2:25.766;3;2:27.010;2;;0;;0;;0;;0;;0;2:25.683;
78;Nitro Motorsports;Toyota GR86;Am;Ethan;Ayars;12;2:25.119;3;2:25.384;2;2:25.852;10;2:25.877;5;2:25.965;4;2:26.481;9;2:26.958;6;2:27.141;11;;0;;0;2:26.097;
80;Nitro Motorsports;Toyota GR86;Am;Paityn;Feyen;12;2:27.101;5;2:27.275;12;2:27.282;6;2:27.396;9;2:27.412;7;2:27.492;4;2:27.556;8;2:27.922;10;2:28.189;11;2:28.351;3;2:27.597;
88;PT Autosport with Copeland Motorsports;Toyota GR86;Am;Zach;Hollingshead;12;2:25.686;6;2:25.767;7;2:25.788;3;2:25.868;5;2:26.505;4;2:26.515;2;2:26.847;9;2:36.975;8;;0;;0;2:27.493;
98;TechSport;Toyota GR86;Am;Max;Schweid;12;2:25.115;5;2:25.636;4;2:25.692;12;2:25.754;11;2:25.981;9;2:26.080;8;2:26.872;3;2:31.127;10;2:31.910;2;;0;2:27.129;
113;Nitro Motorsports;Toyota GR86;Am;Ethan;Tovo;12;2:26.178;3;2:26.474;7;2:26.571;10;2:26.654;2;2:26.803;11;2:27.606;4;2:28.052;5;2:28.544;12;2:30.185;6;;0;2:27.451;
