NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;IM1a_time;IM1a_elapsed;INT-1_time;INT-1_elapsed;IM2a_time;IM2a_elapsed;INT-2_time;INT-2_elapsed;IM3a_time;IM3a_elapsed;FL_time;FL_elapsed;
03;1;1;2:54.973;0;;1:31.702;0;42.766;0;40.505;0;79.0;2:54.973;09:07:54.973;1:31.702;0:42.766;0:40.505;173.1;Karl Forman;0:00:45.724;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;91.702;42.766;40.505;1:06.082;1:06.082;25.620;1:31.702;17.895;1:49.597;24.871;2:14.468;15.878;2:30.346;24.627;2:54.973;
03;1;2;1:55.832;0;;39.463;0;37.983;0;38.386;0;119.3;4:50.805;09:09:50.805;0:39.463;0:37.983;0:38.386;184.3;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;39.463;37.983;38.386;16.510;16.510;22.953;39.463;15.858;55.321;22.125;1:17.446;14.702;1:32.148;23.684;1:55.832;
03;1;3;1:54.726;0;;38.937;0;37.649;0;38.140;0;120.4;6:45.531;09:11:45.531;0:38.937;0:37.649;0:38.140;185.2;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;38.937;37.649;38.140;16.326;16.326;22.611;38.937;15.778;54.715;21.871;1:16.586;14.657;1:31.243;23.483;1:54.726;
03;1;4;1:54.245;0;;38.705;0;37.613;0;37.927;0;120.9;8:39.776;09:13:39.776;0:38.705;0:37.613;0:37.927;185.2;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;38.705;37.613;37.927;16.301;16.301;22.404;38.705;15.687;54.392;21.926;1:16.318;14.490;1:30.808;23.437;1:54.245;
03;1;5;1:54.223;2;;38.795;0;37.566;2;37.862;2;121.0;10:33.999;09:15:33.999;0:38.795;0:37.566;0:37.862;188.2;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;38.795;37.566;37.862;16.205;16.205;22.590;38.795;15.765;54.560;21.801;1:16.361;14.400;1:30.761;23.462;1:54.223;
03;1;6;1:54.913;0;;39.093;0;37.752;0;38.068;0;120.2;12:28.912;09:17:28.912;0:39.093;0:37.752;0:38.068;185.2;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;39.093;37.752;38.068;15.973;15.973;23.120;39.093;15.823;54.916;21.929;1:16.845;14.540;1:31.385;23.528;1:54.913;
03;1;7;1:56.454;0;;38.270;2;37.686;0;40.498;0;118.7;14:25.366;09:19:25.366;0:38.270;0:37.686;0:40.498;186.2;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;38.270;37.686;40.498;15.967;15.967;22.303;38.270;15.663;53.933;22.023;1:15.956;14.738;1:30.694;25.760;1:56.454;
03;1;8;2:42.306;0;B;43.847;0;43.493;0;1:14.966;0;85.1;17:07.672;09:22:07.672;0:43.847;0:43.493;1:14.966;178.2;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;FF;43.847;43.493;74.966;15.943;15.943;27.904;43.847;17.721;1:01.568;25.772;1:27.340;16.544;1:43.884;58.422;2:42.306;
11;1;1;2:32.175;0;;1:06.045;0;43.778;0;42.352;0;90.8;2:32.175;09:07:32.175;1:06.045;0:43.778;0:42.352;163.1;Farran Davis*;0:00:20.437;Am;;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;66.045;43.778;42.352;40.639;40.639;25.406;1:06.045;18.138;1:24.183;25.640;1:49.823;16.444;2:06.267;25.908;2:32.175;
11;1;2;1:56.507;0;;39.453;0;38.605;0;38.449;0;118.6;4:28.682;09:09:28.682;0:39.453;0:38.605;0:38.449;182.1;Farran Davis*;;Am;;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;39.453;38.605;38.449;16.411;16.411;23.042;39.453;16.232;55.685;22.373;1:18.058;14.664;1:32.722;23.785;1:56.507;
11;1;3;1:55.733;0;;39.237;0;38.455;0;38.041;0;119.4;6:24.415;09:11:24.415;0:39.237;0:38.455;0:38.041;182.1;Farran Davis*;;Am;;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;39.237;38.455;38.041;16.353;16.353;22.884;39.237;16.026;55.263;22.429;1:17.692;14.549;1:32.241;23.492;1:55.733;
11;1;4;1:57.321;0;;39.100;0;39.354;0;38.867;0;117.8;8:21.736;09:13:21.736;0:39.100;0:39.354;0:38.867;180.0;Farran Davis*;;Am;;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;39.100;39.354;38.867;16.363;16.363;22.737;39.100;15.888;54.988;23.466;1:18.454;15.286;1:33.740;23.581;1:57.321;
11;1;5;1:54.251;2;;38.450;2;37.933;2;37.868;2;120.9;10:15.987;09:15:15.987;0:38.450;0:37.933;0:37.868;185.2;Farran Davis*;;Am;;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;38.450;37.933;37.868;15.857;15.857;22.593;38.450;15.818;54.268;22.115;1:16.383;14.324;1:30.707;23.544;1:54.251;
11;1;6;2:01.589;0;;39.522;0;41.053;0;41.014;0;113.6;12:17.576;09:17:17.576;0:39.522;0:41.053;0:41.014;180.0;Farran Davis*;;Am;;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;39.522;41.053;41.014;16.144;16.144;23.378;39.522;18.206;57.728;22.847;1:20.575;14.621;1:35.196;26.393;2:01.589;
11;1;7;1:57.234;0;;39.020;0;38.069;0;40.145;0;117.9;14:14.810;09:19:14.810;0:39.020;0:38.069;0:40.145;181.2;Farran Davis*;;Am;;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;39.020;38.069;40.145;15.903;15.903;23.117;39.020;15.968;54.988;22.101;1:17.089;14.568;1:31.657;25.577;1:57.234;
11;1;8;2:32.119;0;B;38.865;0;40.229;0;1:13.025;0;90.8;16:46.929;09:21:46.929;0:38.865;0:40.229;1:13.025;180.0;Farran Davis*;;Am;;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;FF;38.865;40.229;73.025;16.045;16.045;22.820;38.865;15.965;54.830;24.264;1:19.094;16.496;1:35.590;56.529;2:32.119;
113;1;1;2:09.488;0;;52.191;0;39.176;0;38.121;0;106.7;2:09.488;09:07:09.488;0:52.191;0:39.176;0:38.121;186.2;Ethan Tovo;0:00:09.819;Am;;Nitro Motorsports;Toyota Gazoo Racing;GF;52.191;39.176;38.121;28.040;28.040;24.151;52.191;16.591;1:08.782;22.585;1:31.367;14.613;1:45.980;23.508;2:09.488;
113;1;2;1:53.560;0;;38.177;0;37.602;0;37.781;0;121.7;4:03.048;09:09:03.048;0:38.177;0:37.602;0:37.781;189.1;Ethan Tovo;;Am;;Nitro Motorsports;Toyota Gazoo Racing;GF;38.177;37.602;37.781;15.893;15.893;22.284;38.177;15.688;53.865;21.914;1:15.779;14.233;1:30.012;23.548;1:53.560;
113;1;3;1:52.696;0;;37.911;0;37.212;0;37.573;0;122.6;5:55.744;09:10:55.744;0:37.911;0:37.212;0:37.573;189.1;Ethan Tovo;;Am;;Nitro Motorsports;Toyota Gazoo Racing;GF;37.911;37.212;37.573;15.662;15.662;22.249;37.911;15.390;53.301;21.822;1:15.123;14.294;1:29.417;23.279;1:52.696;
113;1;4;1:53.199;0;;37.774;0;37.490;0;37.935;0;122.1;7:48.943;09:12:48.943;0:37.774;0:37.490;0:37.935;189.1;Ethan Tovo;;Am;;Nitro Motorsports;Toyota Gazoo Racing;GF;37.774;37.490;37.935;15.501;15.501;22.273;37.774;15.481;53.255;22.009;1:15.264;14.563;1:29.827;23.372;1:53.199;
113;1;5;1:53.561;0;;38.697;0;37.268;0;37.596;0;121.7;9:42.504;09:14:42.504;0:38.697;0:37.268;0:37.596;189.1;Ethan Tovo;;Am;;Nitro Motorsports;Toyota Gazoo Racing;GF;38.697;37.268;37.596;15.634;15.634;23.063;38.697;15.601;54.298;21.667;1:15.965;14.123;1:30.088;23.473;1:53.561;
113;1;6;1:53.196;0;;38.031;0;37.404;0;37.761;0;122.1;11:35.700;09:16:35.700;0:38.031;0:37.404;0:37.761;190.1;Ethan Tovo;;Am;;Nitro Motorsports;Toyota Gazoo Racing;GF;38.031;37.404;37.761;15.646;15.646;22.385;38.031;15.410;53.441;21.994;1:15.435;14.305;1:29.740;23.456;1:53.196;
113;1;7;1:53.175;0;;38.269;0;37.125;2;37.781;0;122.1;13:28.875;09:18:28.875;0:38.269;0:37.125;0:37.781;189.1;Ethan Tovo;;Am;;Nitro Motorsports;Toyota Gazoo Racing;GF;38.269;37.125;37.781;15.807;15.807;22.462;38.269;15.488;53.757;21.637;1:15.394;14.290;1:29.684;23.491;1:53.175;
113;1;8;1:52.429;2;;37.737;2;37.191;0;37.501;2;122.9;15:21.304;09:20:21.304;0:37.737;0:37.191;0:37.501;189.1;Ethan Tovo;;Am;;Nitro Motorsports;Toyota Gazoo Racing;FF;37.737;37.191;37.501;15.534;15.534;22.203;37.737;15.422;53.159;21.769;1:14.928;14.061;1:28.989;23.440;1:52.429;
12;1;1;2:20.516;0;;56.417;0;41.308;0;42.791;0;98.3;2:20.516;09:07:20.516;0:56.417;0:41.308;0:42.791;170.1;John Lennon*;0:00:10.650;Am;;Copeland Motorsports;Toyota Gazoo Racing;GF;56.417;41.308;42.791;29.894;29.894;26.523;56.417;17.381;1:13.798;23.927;1:37.725;17.347;1:55.072;25.444;2:20.516;
12;1;2;1:59.616;0;;41.478;0;38.915;0;39.223;0;115.5;4:20.132;09:09:20.132;0:41.478;0:38.915;0:39.223;181.2;John Lennon*;;Am;;Copeland Motorsports;Toyota Gazoo Racing;GF;41.478;38.915;39.223;17.019;17.019;24.459;41.478;16.063;57.541;22.852;1:20.393;14.790;1:35.183;24.433;1:59.616;
12;1;3;1:58.566;0;;39.975;0;39.126;0;39.465;0;116.5;6:18.698;09:11:18.698;0:39.975;0:39.126;0:39.465;175.0;John Lennon*;;Am;;Copeland Motorsports;Toyota Gazoo Racing;GF;39.975;39.126;39.465;16.464;16.464;23.511;39.975;16.081;56.056;23.045;1:19.101;15.127;1:34.228;24.338;1:58.566;
12;1;4;1:57.866;0;;39.968;2;38.987;0;38.911;0;117.2;8:16.564;09:13:16.564;0:39.968;0:38.987;0:38.911;184.3;John Lennon*;;Am;;Copeland Motorsports;Toyota Gazoo Racing;GF;39.968;38.987;38.911;16.645;16.645;23.323;39.968;16.049;56.017;22.938;1:18.955;14.916;1:33.871;23.995;1:57.866;
12;1;5;1:57.816;2;;39.977;0;38.785;0;39.054;0;117.3;10:14.380;09:15:14.380;0:39.977;0:38.785;0:39.054;184.3;John Lennon*;;Am;;Copeland Motorsports;Toyota Gazoo Racing;GF;39.977;38.785;39.054;16.413;16.413;23.564;39.977;16.199;56.176;22.586;1:18.762;14.931;1:33.693;24.123;1:57.816;
12;1;6;1:59.776;0;;39.997;0;41.058;0;38.721;2;115.4;12:14.156;09:17:14.156;0:39.997;0:41.058;0:38.721;183.1;John Lennon*;;Am;;Copeland Motorsports;Toyota Gazoo Racing;GF;39.997;41.058;38.721;16.594;16.594;23.403;39.997;16.396;56.393;24.662;1:21.055;14.728;1:35.783;23.993;1:59.776;
12;1;7;1:57.950;0;;40.780;0;38.203;2;38.967;0;117.1;14:12.106;09:19:12.106;0:40.780;0:38.203;0:38.967;185.2;John Lennon*;;Am;;Copeland Motorsports;Toyota Gazoo Racing;GF;40.780;38.203;38.967;16.910;16.910;23.870;40.780;15.774;56.554;22.429;1:18.983;14.742;1:33.725;24.225;1:57.950;
12;1;8;2:32.239;0;B;40.724;0;39.485;0;1:12.030;0;90.8;16:44.345;09:21:44.345;0:40.724;0:39.485;1:12.030;174.2;John Lennon*;;Am;;Copeland Motorsports;Toyota Gazoo Racing;FF;40.724;39.485;72.030;16.637;16.637;24.087;40.724;16.043;56.767;23.442;1:20.209;16.401;1:36.610;55.629;2:32.239;
13;1;1;3:19.019;0;;2:01.777;0;38.506;0;38.736;0;69.4;3:19.019;09:08:19.019;2:01.777;0:38.506;0:38.736;185.2;Westin Workman;0:01:18.813;Am;;BSI Racing;Toyota Gazoo Racing;GF;121.777;38.506;38.736;1:37.525;1:37.525;24.252;2:01.777;16.228;2:18.005;22.278;2:40.283;14.334;2:54.617;24.402;3:19.019;
