Pos;No.;Class;PIC;Driver1;Nat;CarName;TeamName;Laps;Time;Gap;Diff;KPH;BestLap;ON
1;5;Am;1;Gresham Wagner;USA;Toyota GR86;Copeland Motorsports;3;16:01.438;;;150.04;2:24.413;3
2;88;Am;2;Henry Drury;GBR;Toyota GR86;Precision Racing LA w/ PT Autosport;5;15:52.182;0.817;0.817;149.2;2:25.230;5
3;55;Am;3;Spike Kohlbecker;USA;Toyota GR86;TechSport Racing;3;15:34.716;0.131;0.948;149.07;2:25.361;3
4;13;Am;4;Westin Workman;USA;Toyota GR86;Copeland Motorsports;3;16:05.790;0.036;0.984;149.03;2:25.397;1
5;46;Am;5;Lucas Weisenberg;USA;Toyota GR86;Lucas Racing;2;13:17.898;0.155;1.139;148.87;2:25.552;1
6;99;Am;6;Jaxon Bell;USA;Toyota GR86;Copeland Motorsports;3;16:16.806;0.067;1.206;148.8;2:25.619;1
7;18;Am;7;Jordan RickSegrini;USA;Toyota GR86;BSI Racing;4;15:40.703;0.051;1.257;148.75;2:25.670;4
8;44;Am;8;Aidan Yoder;USA;Toyota GR86;Precision Racing LA;5;15:53.952;0.024;1.281;148.72;2:25.694;5
9;80;Am;9;Tyler Wettengel;USA;Toyota GR86;Nitro Motorsports;3;15:40.945;0.259;1.540;148.46;2:25.953;1
10;51;Am;10;Adam Brickley;USA;Toyota GR86;Copeland Motorsports;3;16:06.447;0.121;1.661;148.34;2:26.074;1
11;57;Am;11;Mia Lovell;USA;Toyota GR86;Copeland Motorsports;3;16:03.934;0.084;1.745;148.25;2:26.158;1
12;78;Am;12;Julian DaCosta;USA;Toyota GR86;BSI Racing;5;15:41.783;0.018;1.763;148.23;2:26.176;5
13;50;Am;13;Casey Mashore;USA;Toyota GR86;Mashore Autobody;5;16:04.189;0.010;1.773;148.22;2:26.186;5
14;09;Am;14;Maddie Aust;USA;Toyota GR86;BSI Racing;5;15:46.551;0.081;1.854;148.14;2:26.267;5
15;31;Am;15;Luke Rumburg;USA;Toyota GR86;RVA Graphics Motorsports by Speed Syndicate;5;15:51.963;0.111;1.965;148.03;2:26.378;5
16;76;Am;16;Steven Clemons;USA;Toyota GR86;BSI Racing;3;15:38.264;0.132;2.097;147.9;2:26.510;3
17;39;Am;17;Maximilian Hewitt;USA;Toyota GR86;BSI Racing;3;15:42.502;0.049;2.146;147.85;2:26.559;3
18;21;Am;18;Ford Koch;USA;Toyota GR86;Eagles Canyon Racing powered by Fast Track;3;15:33.502;0.023;2.169;147.82;2:26.582;1
19;77;Am;19;William Lambros;USA;Toyota GR86;Skip Barber Racing;3;15:34.046;0.053;2.222;147.77;2:26.635;1
20;43;Am;20;Alexandra Hainer;USA;Toyota GR86;Precision Racing LA;5;15:56.466;0.133;2.355;147.64;2:26.768;2
21;22;Am;21;Devin Anderson;USA;Toyota GR86;TechSport Racing;3;15:36.916;0.013;2.368;147.62;2:26.781;3
22;15;Am;22;Bennett Muldoon;USA;Toyota GR86;Bennett Motorsports;5;16:11.496;0.067;2.435;147.56;2:26.848;5
23;34;Am;23;Braydon Arthur;CAN;Toyota GR86;JMF Motorsports;3;15:43.437;0.100;2.535;147.45;2:26.948;3
24;61;Am;24;James Klimas;USA;Toyota GR86;Skip Barber Racing;3;16:15.988;0.168;2.703;147.29;2:27.116;3
25;7;Am;25;Spencer Bucknum;USA;Toyota GR86;Precision Racing LA;5;16:00.752;0.098;2.801;147.19;2:27.214;2
26;11;Am;26;Farran Davis;USA;Toyota GR86;RVA Graphics Motorsports by Speed Syndicate;5;15:56.325;0.349;3.150;146.84;2:27.563;5
27;25;Am;27;Alfonso Diaz;PRI;Toyota GR86;TechSport Racing;3;15:40.634;1.950;5.100;144.92;2:29.513;3
28;14;Am;28;Alex Garcia;USA;Toyota GR86;Skip Barber Racing;3;15:37.453;0.114;5.214;144.81;2:29.627;3
29;24;Am;29;Jade Avedisian;USA;Toyota GR86;Nitro Motorsports;1;5:20.502;;;;;0
