"Pos","PIC","#","Name","Class","Laps","Total Time","Total Time (ms)","Best Time","Best Time (ms)","Best Speed","Best Lap","Diff","Gap","Points","Start Pos","Total distance","Laps led","Startgrid Comment","First Name","Last Name","2nd Best Time","2nd Best Time (ms)","Pitstops","S1 Best Time","S1 Best Time (ms)","S2 Best Time","S2 Best Time (ms)","S3 Best Time","S3 Best Time (ms)","FirstName","LastName","Additional1","Additional2","Additional3","Additional4","Additional5","Additional6","Additional7","Additional8","CarRegistration","DriverRegistration","Transponder1","Transponder2","Start PIC","Pos Gained","Pos Gained Overall"
"1","1","99","Jaxon Bell","Am","16","45:11.859",2711859,"2:28.589",148589,"82.617","6","","","0","2","54.560","16","2:28.032","Jaxon","Bell","2:28.608",148608,"","32.353",32353,"56.950",56950,"59.211",59211,"Jaxon","Bell","","219090","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:N6WMshj1VUKEXqQkzFq4a","entries:events-2024-sro-cota:N6WMshj1VUKEXqQkzFq4a","13153784","",2,"1 (2 → 1)","1"
"2","2","55","Spike Kohlbecker","Am","16","45:12.112",2712112,"2:28.849",148849,"82.473","6","0.253","0.253","0","1","54.560","0","2:27.696","Spike","Kohlbecker","2:28.998",148998,"","32.440",32440,"56.866",56866,"59.417",59417,"Spike","Kohlbecker","","219122","GR Cup","Toyota GR86","TechSport Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:kQi1rtvncRp7Rzhg_xBiT","entries:events-2024-sro-cota:kQi1rtvncRp7Rzhg_xBiT","11385466","",1,"-1 (1 → 2)","-1"
"3","3","13","Westin Workman","Am","16","45:12.754",2712754,"2:28.720",148720,"82.544","5","0.895","0.642","0","3","54.560","0","2:28.102","Westin","Workman","2:28.972",148972,"","32.300",32300,"56.784",56784,"59.454",59454,"Westin","Workman","","219250","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:D_Kuz9gCsmU5ekLPSWF8v","entries:events-2024-sro-cota:D_Kuz9gCsmU5ekLPSWF8v","15241424","",3,"0 (3 → 3)","0"
"4","4","24","Jade Avedisian","Am","16","45:13.514",2713514,"2:28.881",148881,"82.455","5","1.655","0.760","0","8","54.560","0","2:28.646","Jade","Avedisian","2:28.949",148949,"","32.309",32309,"56.877",56877,"59.429",59429,"Jade","Avedisian","","219104","GR Cup","Toyota GR86","Nitro Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:zneEhSIHSC6v1bYuVZFCG","entries:events-2024-sro-cota:zneEhSIHSC6v1bYuVZFCG","10544198","",8,"4 (8 → 4)","4"
"5","5","22","Devin Anderson","Am","16","45:14.168",2714168,"2:29.579",149579,"82.070","5","2.309","0.654","0","4","54.560","0","2:28.205","Devin","Anderson","2:29.604",149604,"","32.374",32374,"56.997",56997,"59.781",59781,"Devin","Anderson","","219213","GR Cup","Toyota GR86","TechSport Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:A8tM_zEF4W6hMArB3a8W7","entries:events-2024-sro-cota:A8tM_zEF4W6hMArB3a8W7","11308725","",4,"-1 (4 → 5)","-1"
"6","6","5","Gresham Wagner","Am","16","45:15.158",2715158,"2:28.662",148662,"82.577","11","3.299","0.990","0","29","54.560","0","","Gresham","Wagner","2:28.862",148862,"","32.277",32277,"56.830",56830,"59.337",59337,"Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:jq4MwktJb3hs_n5HAGBsM","entries:events-2024-sro-cota:jq4MwktJb3hs_n5HAGBsM","15257379","",29,"23 (29 → 6)","23"
"7","7","46","Lucas Weisenberg","Am","16","45:16.102",2716102,"2:29.327",149327,"82.209","11","4.243","0.944","0","6","54.560","0","2:28.466","Lucas","Weisenberg","2:29.359",149359,"","32.493",32493,"57.284",57284,"59.437",59437,"Lucas","Weisenberg","","219272","GR Cup","Toyota GR86","Lucas Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:_vSMjpo8H_5GBfjgHyGUE","entries:events-2024-sro-cota:_vSMjpo8H_5GBfjgHyGUE","12208074","",6,"-1 (6 → 7)","-1"
"8","8","76","Steven Clemons","Am","16","45:16.614",2716614,"2:29.643",149643,"82.035","8","4.755","0.512","0","9","54.560","0","2:28.683","Steven","Clemons","2:29.805",149805,"","32.415",32415,"57.222",57222,"59.610",59610,"Steven","Clemons","","219225","GR Cup","Toyota GR86","BSI Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:lPSTpP2K_7zJF2PzyS77A","entries:events-2024-sro-cota:lPSTpP2K_7zJF2PzyS77A","13032211","",9,"1 (9 → 8)","1"
"9","9","34","Braydon Arthur","Am","16","45:17.186",2717186,"2:30.017",150017,"81.831","9","5.327","0.572","0","11","54.560","0","2:28.762","Braydon","Arthur","2:30.123",150123,"","32.538",32538,"57.415",57415,"59.781",59781,"Braydon","Arthur","","219195","GR Cup","Toyota GR86","JMF Motorsports","Toyota Gazoo Racing","CAN","","entries:events-2024-sro-cota:V0g-Nov2BW63AnLcPGWGS","entries:events-2024-sro-cota:V0g-Nov2BW63AnLcPGWGS","15222059","",11,"2 (11 → 9)","2"
"10","10","44","Aidan Yoder","Am","16","45:17.414",2717414,"2:30.108",150108,"81.781","6","5.555","0.228","0","17","54.560","0","2:28.922","Aidan","Yoder","2:30.137",150137,"","32.517",32517,"57.274",57274,"1:00.045",60045,"Aidan","Yoder","","219270","GR Cup","Toyota GR86","Precision Racing LA","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:CM9JG4N8gKc_YD4xA2mUh","entries:events-2024-sro-cota:CM9JG4N8gKc_YD4xA2mUh","14864382","11358964",17,"7 (17 → 10)","7"
