"Series","Class","No.","Best Lap 1","Best Lap 2","Best Lap 3","Best Lap 4","Best Lap 5","Best Lap 6","Best Lap 7","Best Lap 8","Best Lap 9","Best Lap 10","Average Best Time"
"GR Cup","Am","3","1:54.787","1:54.844","1:54.952","1:55.042","1:55.096","1:55.257","1:55.380","1:55.449","1:55.599","1:55.795","01:55.220"
"GR Cup","Am","5","1:50.650","1:50.988","1:51.215","1:51.319","1:51.336","1:51.362","1:51.383","1:51.497","1:51.524","1:51.553","01:51.283"
"GR Cup","Am","7","1:52.349","1:52.435","1:52.469","1:52.561","1:52.608","1:52.621","1:52.737","1:52.874","1:53.055","1:53.225","01:52.693"
"GR Cup","Am","09","1:52.840","1:53.153","1:53.318","1:53.624","1:53.701","1:53.764","1:53.853","1:54.385","1:54.802","1:54.811","01:53.825"
"GR Cup","Am","11","1:54.201","1:54.293","1:54.411","1:54.446","1:54.564","1:54.609","1:54.656","1:54.707","1:54.931","1:55.137","01:54.596"
"GR Cup","Am","13","1:51.292","1:51.354","1:51.386","1:51.459","1:51.583","1:51.588","1:51.605","1:51.645","1:51.649","1:51.657","01:51.522"
"GR Cup","Am","14","1:52.134","1:52.319","1:52.491","1:52.572","1:52.645","1:52.679","1:52.722","1:52.835","1:52.955","1:53.025","01:52.638"
"GR Cup","Am","15","1:52.544","1:52.693","1:52.761","1:52.836","1:52.879","1:53.147","1:53.366","1:53.536","1:53.700","1:53.743","01:53.121"
"GR Cup","Am","21","1:52.413","1:52.615","1:53.004","1:53.397","1:53.554","1:53.610","1:53.716","1:53.726","1:54.338","1:54.436","01:53.481"
"GR Cup","Am","22","1:52.528","1:52.922","1:53.138","1:53.215","1:53.295","1:53.303","1:53.397","1:53.503","1:53.507","1:53.604","01:53.241"
"GR Cup","Am","24","1:52.233","1:52.340","1:52.383","1:52.570","1:52.651","1:52.724","1:52.878","1:53.004","1:53.176","1:53.218","01:52.718"
"GR Cup","Am","25","1:54.383","1:54.418","1:54.572","1:54.589","1:54.601","1:54.633","1:55.114","1:55.179","1:55.343","1:55.402","01:54.823"
"GR Cup","Am","31","1:53.794","1:53.837","1:54.164","1:54.253","1:54.255","1:54.370","1:54.431","1:54.448","1:54.455","1:54.862","01:54.287"
"GR Cup","Am","34","1:52.224","1:52.549","1:52.684","1:53.171","1:53.175","1:53.361","1:53.439","1:53.625","1:53.720","1:53.730","01:53.168"
"GR Cup","Am","39","1:52.080","1:52.163","1:52.240","1:52.259","1:52.310","1:52.348","1:52.461","1:52.478","1:52.568","1:52.590","01:52.350"
"GR Cup","Am","43","1:53.350","1:53.423","1:53.709","1:53.721","1:53.760","1:53.927","1:54.147","1:54.237","1:54.269","1:54.430","01:53.897"
"GR Cup","Am","46","1:51.071","1:51.196","1:51.252","1:51.255","1:51.263","1:51.279","1:51.289","1:51.298","1:51.361","1:51.526","01:51.279"
"GR Cup","Am","50","1:52.055","1:52.189","1:52.360","1:52.416","1:52.662","1:52.951","1:52.975","1:53.041","1:53.087","1:53.157","01:52.689"
"GR Cup","Am","51","1:52.081","1:52.276","1:52.326","1:52.343","1:52.372","1:52.397","1:52.430","1:52.460","1:52.508","1:52.562","01:52.376"
"GR Cup","Am","55","1:51.389","1:51.477","1:51.524","1:51.524","1:51.635","1:51.666","1:51.718","1:51.729","1:51.763","1:51.764","01:51.619"
"GR Cup","Am","57","1:52.137","1:52.280","1:52.296","1:52.339","1:52.407","1:52.450","1:52.479","1:52.518","1:52.566","1:52.622","01:52.409"
"GR Cup","Am","61","1:54.473","1:55.265","1:55.517","1:56.479","1:57.281","1:57.659","1:57.661","1:57.748","1:58.028","1:58.211","01:56.832"
"GR Cup","Am","76","1:52.191","1:52.246","1:52.267","1:52.271","1:52.288","1:52.391","1:52.506","1:52.507","1:52.515","1:52.540","01:52.372"
"GR Cup","Am","77","1:53.684","1:53.916","1:54.030","1:54.085","1:54.093","1:54.238","1:54.246","1:54.299","1:54.369","1:54.414","01:54.137"
"GR Cup","Am","88","1:52.556","1:52.711","1:52.812","1:52.818","1:52.831","1:53.028","1:53.159","1:53.424","1:53.450","1:53.712","01:53.050"
"GR Cup","Am","89","1:51.788","1:51.955","1:52.300","1:52.451","1:52.455","1:52.505","1:52.585","1:52.623","1:52.640","1:52.670","01:52.397"
"GR Cup","Am","99","1:52.012","1:52.027","1:52.041","1:52.053","1:52.067","1:52.079","1:52.249","1:52.256","1:52.293","1:52.298","01:52.138"
