Pos;No.;Class;PIC;Driver1;Nat;CarName;TeamName;Laps;Time;Gap;Diff;KPH;BestLap;ON
1;13;Am;1;Westin Workman;USA;Toyota GR86;Copeland Motorsports;7;15:23.370;;;131.41;1:50.438;7
2;5;Am;2;Gresham Wagner;USA;Toyota GR86;Copeland Motorsports;7;15:22.898;0.128;0.128;131.26;1:50.566;6
3;46;Am;3;Lucas Weisenberg;USA;Toyota GR86;Lucas Racing;7;15:46.101;0.061;0.189;131.19;1:50.627;5
4;55;Am;4;Spike Kohlbecker;USA;Toyota GR86;TechSport Racing;8;15:43.626;0.035;0.224;131.15;1:50.662;8
5;99;Am;5;Jaxon Bell;USA;Toyota GR86;Copeland Motorsports;7;15:52.002;0.113;0.337;131.01;1:50.775;6
6;57;Am;6;Mia Lovell;USA;Toyota GR86;Copeland Motorsports;7;15:27.139;0.601;0.938;130.31;1:51.376;6
7;34;Am;7;Braydon Arthur;CAN;Toyota GR86;JMF Motorsports;7;15:21.827;0.135;1.073;130.15;1:51.511;7
8;39;Am;8;Maximilian Hewitt;USA;Toyota GR86;BSI Racing;7;15:21.289;0.051;1.124;130.09;1:51.562;7
9;51;Am;9;Adam Brickley;USA;Toyota GR86;Copeland Motorsports;7;15:28.757;0.043;1.167;130.04;1:51.605;6
10;44;Am;10;Aidan Yoder;USA;Toyota GR86;Precision Racing LA;7;14:53.167;0.029;1.196;130.01;1:51.634;7
11;89;Am;11;Livio Galanti;ITA;Toyota GR86;Eagles Canyon Racing powered by Fast Track;8;15:39.215;0.009;1.205;129.99;1:51.643;6
12;14;Am;12;Alex Garcia;USA;Toyota GR86;Skip Barber Racing;8;16:04.210;0.005;1.210;129.99;1:51.648;4
13;21;Am;13;Ford Koch;USA;Toyota GR86;Eagles Canyon Racing powered by Fast Track;8;15:40.741;0.144;1.354;129.82;1:51.792;8
14;7;Am;14;Spencer Bucknum;USA;Toyota GR86;Precision Racing LA;8;16:37.085;0.046;1.400;129.77;1:51.838;8
15;22;Am;15;Devin Anderson;USA;Toyota GR86;TechSport Racing;8;16:15.057;0.212;1.612;129.52;1:52.050;8
16;80;Am;16;Tyler Wettengel;USA;Toyota GR86;Nitro Motorsports;8;15:35.550;0.241;1.853;129.24;1:52.291;4
17;88;Am;17;Henry Drury;GBR;Toyota GR86;Precision Racing LA w/ PT Autosport;7;14:55.896;0.040;1.893;129.2;1:52.331;7
18;24;Am;18;Jade Avedisian;USA;Toyota GR86;Nitro Motorsports;8;15:32.432;0.105;1.998;129.08;1:52.436;8
19;31;Am;19;Luke Rumburg;USA;Toyota GR86;RVA Graphics Motorsports by Speed Syndicate;8;15:40.217;0.075;2.073;128.99;1:52.511;6
20;50;Am;20;Casey Mashore;USA;Toyota GR86;Mashore Autobody;8;17:06.142;0.135;2.208;128.84;1:52.646;5
21;09;Am;21;Maddie Aust;USA;Toyota GR86;BSI Racing;7;15:37.801;0.167;2.375;128.65;1:52.813;5
22;77;Am;22;William Lambros;USA;Toyota GR86;Skip Barber Racing;8;16:25.183;0.045;2.420;128.6;1:52.858;4
23;76;Am;23;Steven Clemons;USA;Toyota GR86;BSI Racing;4;10:26.740;0.332;2.752;128.22;1:53.190;3
24;43;Am;24;Alexandra Hainer;USA;Toyota GR86;Precision Racing LA;7;14:59.219;0.041;2.793;128.17;1:53.231;7
25;25;Am;25;Alfonso Diaz;PRI;Toyota GR86;TechSport Racing;8;16:43.943;0.829;3.622;127.24;1:54.060;7
26;11;Am;26;Farran Davis;USA;Toyota GR86;RVA Graphics Motorsports by Speed Syndicate;7;14:05.948;0.281;3.903;126.93;1:54.341;7
27;3;Am;27;Jason Kos;USA;Toyota GR86;Eagles Canyon Racing powered by Fast Track;8;16:12.461;0.806;4.709;126.04;1:55.147;8
28;15;Am;28;Bennett Muldoon;USA;Toyota GR86;Bennett Motorsports;8;16:43.602;0.038;4.747;126;1:55.185;5
29;61;Am;29;James Klimas;USA;Toyota GR86;Skip Barber Racing;3;7:45.592;2.984;7.731;122.82;1:58.169;3
