"Series","Class","No.","Best Lap 1","Best Lap 2","Best Lap 3","Best Lap 4","Best Lap 5","Best Lap 6","Best Lap 7","Best Lap 8","Best Lap 9","Best Lap 10","Average Best Time"
"GR Cup","Am","5","2:24.642","2:24.727","2:24.737","2:24.875","2:25.064","2:29.355","2:31.459","2:48.001","5:31.618","","02:49.386"
"GR Cup","Am","7","2:26.629","2:26.798","2:27.245","2:27.667","2:28.667","2:28.845","2:32.455","2:56.053","4:03.825","5:38.072","02:59.626"
"GR Cup","Am","09","2:26.749","2:26.862","2:27.094","2:27.337","2:27.344","2:27.513","2:28.044","2:28.230","2:29.158","3:00.097","02:30.843"
"GR Cup","Am","11","2:29.053","2:29.179","2:29.247","2:29.408","2:29.520","2:29.782","2:31.087","2:31.927","2:32.294","2:35.608","02:30.711"
"GR Cup","Am","13","2:25.221","2:25.889","2:28.054","2:28.220","2:29.876","2:32.182","2:41.195","2:52.368","","","02:32.876"
"GR Cup","Am","14","2:26.459","2:26.575","2:26.634","2:26.819","2:27.101","2:27.803","2:28.503","2:32.159","2:36.875","2:53.549","02:31.248"
"GR Cup","Am","15","2:27.588","2:27.671","2:27.820","2:27.829","2:28.390","2:28.751","2:28.927","3:01.747","3:02.087","5:39.633","02:54.044"
"GR Cup","Am","18","2:26.100","2:26.418","2:26.478","2:26.498","2:26.527","2:26.642","2:26.785","2:28.705","2:39.449","2:41.453","02:29.506"
"GR Cup","Am","21","2:28.110","2:28.137","2:28.219","2:28.261","2:28.469","2:28.535","2:28.647","2:28.662","2:29.664","2:29.703","02:28.641"
"GR Cup","Am","22","2:26.680","2:26.753","2:27.011","2:27.028","2:27.074","2:27.236","2:28.068","2:28.389","2:41.627","6:08.608","02:50.847"
"GR Cup","Am","24","2:26.808","2:27.029","2:27.110","2:27.122","2:27.319","2:27.349","2:27.389","2:27.425","2:27.790","2:27.796","02:27.314"
"GR Cup","Am","25","2:29.490","2:29.512","2:29.656","2:29.746","2:29.798","2:29.821","2:29.918","2:30.021","2:31.092","2:31.518","02:30.057"
"GR Cup","Am","31","2:26.488","2:26.568","2:26.935","2:27.229","2:38.537","2:53.216","3:06.188","5:51.061","","","03:02.028"
"GR Cup","Am","34","2:26.795","2:26.981","2:27.332","2:27.399","2:27.602","2:31.982","2:41.878","2:42.636","3:02.706","","02:35.035"
"GR Cup","Am","39","2:26.993","2:26.998","2:27.167","2:27.754","2:27.924","2:28.021","2:28.237","2:29.880","2:41.246","5:29.415","02:47.364"
"GR Cup","Am","43","2:27.268","2:27.390","2:27.508","2:27.932","2:27.984","2:28.159","2:28.325","2:54.680","3:06.812","3:18.137","02:39.420"
"GR Cup","Am","44","2:26.719","2:27.133","2:27.163","2:27.187","2:27.228","2:27.268","2:27.522","2:31.879","2:55.346","3:07.312","02:34.476"
"GR Cup","Am","46","2:25.705","2:26.175","2:26.353","2:26.913","2:29.917","2:39.704","2:50.200","2:51.224","4:39.381","","02:48.397"
"GR Cup","Am","50","2:26.834","2:27.207","2:27.551","2:27.611","2:28.955","2:29.133","2:53.716","2:54.521","3:03.352","3:19.412","02:41.829"
"GR Cup","Am","51","2:25.793","2:26.608","2:26.795","2:26.869","2:27.027","2:27.202","2:27.485","2:27.938","2:28.530","2:30.335","02:27.458"
"GR Cup","Am","55","2:25.593","2:25.777","2:25.781","2:25.898","2:25.926","2:26.265","2:29.023","2:39.469","2:46.137","2:46.145","02:31.601"
"GR Cup","Am","57","2:26.094","2:26.180","2:26.189","2:26.194","2:26.625","2:26.851","2:27.375","2:27.423","2:30.397","2:31.028","02:27.436"
"GR Cup","Am","61","2:28.688","2:28.744","2:29.359","2:29.524","2:29.600","2:30.575","2:38.313","2:42.216","3:02.488","4:47.567","02:48.707"
"GR Cup","Am","76","2:26.335","2:26.450","2:26.511","2:26.850","2:26.921","2:26.993","2:27.761","2:27.810","2:42.600","4:45.525","02:42.376"
"GR Cup","Am","77","2:28.952","2:29.228","2:29.241","2:29.333","2:29.560","2:29.857","2:30.807","2:35.044","2:44.662","4:17.765","02:42.445"
"GR Cup","Am","78","2:26.766","2:26.849","2:26.855","2:27.366","2:27.942","2:28.563","2:28.564","2:28.912","2:41.654","2:46.846","02:31.032"
"GR Cup","Am","80","2:27.042","2:27.267","2:27.325","2:27.528","2:27.665","2:28.081","2:28.294","2:28.527","2:29.193","2:29.709","02:28.063"
"GR Cup","Am","88","2:26.570","2:26.623","2:26.731","2:27.321","2:27.377","2:27.888","2:27.904","2:29.135","2:33.168","2:38.152","02:29.087"
"GR Cup","Am","99","2:25.523","2:25.647","2:25.678","2:26.133","2:26.266","2:26.266","2:26.290","2:26.338","2:26.343","2:39.375","02:27.386"
