NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;
80;1;3;2:27.523;2;;50.626;2;47.940;0;48.957;2;93.7;7:47.309;08:57:47.309;0:50.626;0:47.940;0:48.957;153.2;Paityn Feyen;;Am;;Nitro Motorsports;Toyota Gazoo Racing;GF;50.626;47.940;48.957;
80;1;4;3:41.079;0;B;1:19.617;0;57.701;0;1:23.761;0;62.5;11:28.388;09:01:28.388;1:19.617;0:57.701;1:23.761;155.2;Paityn Feyen;;Am;;Nitro Motorsports;Toyota Gazoo Racing;RF;79.617;57.701;83.761;
80;1;5;4:51.754;0;;3:08.473;0;50.206;0;53.075;0;47.4;16:20.142;09:06:20.142;3:08.473;0:50.206;0:53.075;152.1;Paityn Feyen;0:02:54.622;Am;;Nitro Motorsports;Toyota Gazoo Racing;FF;188.473;50.206;53.075;
88;1;1;2:35.263;0;;1:00.364;0;47.434;0;47.465;0;89.0;2:35.263;08:52:35.263;1:00.364;0:47.434;0:47.465;155.2;Zach Hollingshead;0:00:08.996;Am;;PT Autosport with Copeland Motorsports;Toyota Gazoo Racing;GF;60.364;47.434;47.465;
88;1;2;2:26.034;0;;47.524;0;45.616;0;52.894;0;94.6;5:01.297;08:55:01.297;0:47.524;0:45.616;0:52.894;159.1;Zach Hollingshead;;Am;;PT Autosport with Copeland Motorsports;Toyota Gazoo Racing;GF;47.524;45.616;52.894;
88;1;3;2:17.900;2;;46.731;2;46.023;0;45.146;2;100.2;7:19.197;08:57:19.197;0:46.731;0:46.023;0:45.146;162.2;Zach Hollingshead;;Am;;PT Autosport with Copeland Motorsports;Toyota Gazoo Racing;GF;46.731;46.023;45.146;
88;1;4;2:46.039;0;B;48.313;0;45.280;2;1:12.446;0;83.2;10:05.236;09:00:05.236;0:48.313;0:45.280;1:12.446;162.2;Zach Hollingshead;;Am;;PT Autosport with Copeland Motorsports;Toyota Gazoo Racing;RF;48.313;45.280;72.446;
88;1;5;6:06.452;0;B;4:06.501;0;46.736;0;1:13.215;0;37.7;16:11.688;09:06:11.688;4:06.501;0:46.736;1:13.215;158.1;Zach Hollingshead;0:03:56.190;Am;;PT Autosport with Copeland Motorsports;Toyota Gazoo Racing;FF;246.501;46.736;73.215;
89;1;1;3:37.721;0;;2:02.606;0;47.547;0;47.568;0;63.5;3:37.721;08:53:37.721;2:02.606;0:47.547;0:47.568;152.1;Livio Galanti*;0:01:11.971;Am;;Eagles Canyon Racing Powered by Fast Track;Toyota Gazoo Racing;GF;122.606;47.547;47.568;
89;1;2;2:17.163;0;;46.781;0;45.230;2;45.152;0;100.7;5:54.884;08:55:54.884;0:46.781;0:45.230;0:45.152;158.1;Livio Galanti*;;Am;;Eagles Canyon Racing Powered by Fast Track;Toyota Gazoo Racing;GF;46.781;45.230;45.152;
89;1;3;2:15.709;2;;45.444;2;45.574;0;44.691;2;101.8;8:10.593;08:58:10.593;0:45.444;0:45.574;0:44.691;159.1;Livio Galanti*;;Am;;Eagles Canyon Racing Powered by Fast Track;Toyota Gazoo Racing;GF;45.444;45.574;44.691;
89;1;4;5:14.413;0;B;47.019;0;57.531;0;3:29.863;0;43.9;13:25.006;09:03:25.006;0:47.019;0:57.531;3:29.863;168.2;Livio Galanti*;;Am;;Eagles Canyon Racing Powered by Fast Track;Toyota Gazoo Racing;GF;47.019;57.531;209.863;
89;1;5;3:03.033;0;B;1:00.759;0;46.244;0;1:16.030;0;75.5;16:28.039;09:06:28.039;1:00.759;0:46.244;1:16.030;154.1;Livio Galanti*;0:02:59.683;Am;;Eagles Canyon Racing Powered by Fast Track;Toyota Gazoo Racing;FF;60.759;46.244;76.030;
93;1;1;4:47.896;0;B;1:13.790;0;51.968;0;2:42.138;0;48.0;4:47.896;08:54:47.896;1:13.790;0:51.968;2:42.138;145.2;Patrick Brunson;0:00:20.183;Am;;Eagles Canyon Racing Powered by Fast Track;Toyota Gazoo Racing;GF;73.790;51.968;162.138;
93;1;2;2:31.019;0;;56.888;0;48.187;2;45.944;2;91.5;7:18.915;08:57:18.915;0:56.888;0:48.187;0:45.944;154.1;Patrick Brunson;0:02:14.801;Am;;Eagles Canyon Racing Powered by Fast Track;Toyota Gazoo Racing;GF;56.888;48.187;45.944;
98;1;1;2:54.299;0;;1:12.225;0;52.273;0;49.801;0;79.3;2:54.299;08:52:54.299;1:12.225;0:52.273;0:49.801;137.1;Max Schweid;0:00:14.268;Am;;TechSport;Toyota Gazoo Racing;GF;72.225;52.273;49.801;
98;1;2;2:18.579;0;;47.176;0;46.149;0;45.254;0;99.7;5:12.878;08:55:12.878;0:47.176;0:46.149;0:45.254;156.1;Max Schweid;;Am;;TechSport;Toyota Gazoo Racing;GF;47.176;46.149;45.254;
98;1;3;2:14.049;2;;45.733;0;44.345;2;43.971;2;103.1;7:26.927;08:57:26.927;0:45.733;0:44.345;0:43.971;161.2;Max Schweid;;Am;;TechSport;Toyota Gazoo Racing;GF;45.733;44.345;43.971;
98;1;4;2:52.867;0;B;45.498;2;45.139;0;1:22.230;0;79.9;10:19.794;09:00:19.794;0:45.498;0:45.139;1:22.230;161.2;Max Schweid;;Am;;TechSport;Toyota Gazoo Racing;RF;45.498;45.139;82.230;
98;1;5;6:26.422;0;B;4:11.368;0;48.035;0;1:27.019;0;35.8;16:46.216;09:06:46.216;4:11.368;0:48.035;1:27.019;143.0;Max Schweid;0:04:02.804;Am;;TechSport;Toyota Gazoo Racing;FF;251.368;48.035;87.019;
