Pos;No.;Class;PIC;Driver1;Nat;CarName;TeamName;Laps;Time;Gap;Diff;KPH;BestLap;ON
1;5;Am;1;Gresham Wagner;USA;Toyota GR86;Copeland Motorsports;8;14:50.511;;;135.76;1:37.298;3
2;55;Am;2;Spike Kohlbecker;USA;Toyota GR86;TechSport Racing;8;15:00.465;0.315;0.315;135.32;1:37.613;3
3;13;Am;3;Westin Workman;USA;Toyota GR86;Copeland Motorsports;8;14:52.647;0.091;0.406;135.2;1:37.704;4
4;46;Am;4;Lucas Weisenberg;USA;Toyota GR86;Lucas Racing;7;16:33.404;0.108;0.514;135.05;1:37.812;4
5;11;Am;5;Will Robusto;USA;Toyota GR86;RVA Graphics Motorsports by Speed Syndicate;8;14:11.542;0.235;0.749;134.73;1:38.047;5
6;99;Am;6;Jaxon Bell;USA;Toyota GR86;Copeland Motorsports;8;14:58.467;0.011;0.760;134.71;1:38.058;4
7;22;Am;7;Devin Anderson;USA;Toyota GR86;TechSport Racing;8;15:07.195;0.080;0.840;134.6;1:38.138;5
8;39;Am;8;Maximilian Hewitt;USA;Toyota GR86;BSI Racing;9;16:14.002;0.050;0.890;134.53;1:38.188;6
9;17;Am;9;Miles Hewitt;USA;Toyota GR86;BSI Racing;9;16:15.730;0.019;0.909;134.51;1:38.207;5
10;57;Am;10;Mia Lovell;USA;Toyota GR86;Copeland Motorsports;8;14:57.330;0.064;0.973;134.42;1:38.271;8
11;18;Am;11;Jordan RickSegrini;USA;Toyota GR86;BSI Racing;9;15:28.906;0.034;1.007;134.37;1:38.305;5
12;30;Am;12;Jackson Tovo;USA;Toyota GR86;Nitro Motorsports;9;15:53.430;0.179;1.186;134.13;1:38.484;5
13;88;Am;13;Henry Drury;GBR;Toyota GR86;Precision Racing LA w/ PT Autosport;8;13:54.472;0.069;1.255;134.03;1:38.553;6
14;14;Am;14;Alex Garcia;USA;Toyota GR86;Skip Barber Racing;9;15:15.190;0.055;1.310;133.96;1:38.608;5
15;76;Am;15;Steven Clemons;USA;Toyota GR86;BSI Racing;9;15:36.599;0.007;1.317;133.95;1:38.615;5
16;50;Am;16;Casey Mashore;USA;Toyota GR86;Mashore Autobody;6;10:43.523;0.142;1.459;133.76;1:38.757;4
17;31;Am;17;Luke Rumburg;USA;Toyota GR86;RVA Graphics Motorsports by Speed Syndicate;9;15:41.504;0.024;1.483;133.72;1:38.781;7
18;75;Am;18;Miki Onaga;JAP;Toyota GR86;Hattori Motorsports;9;15:44.092;0.139;1.622;133.54;1:38.920;7
19;21;Am;19;Ford Koch;USA;Toyota GR86;Eagles Canyon Racing powered by Fast Track;9;15:31.853;0.042;1.664;133.48;1:38.962;6
20;24;Am;20;Jade Avedisian;USA;Toyota GR86;Nitro Motorsports;6;15:22.491;0.040;1.704;133.43;1:39.002;5
21;47;Am;21;Ayden Kirk;USA;Toyota GR86;TechSport Racing;8;16:26.662;0.117;1.821;133.27;1:39.119;6
22;09;Am;22;Maddie Aust;USA;Toyota GR86;BSI Racing;9;15:22.986;0.067;1.888;133.18;1:39.186;5
23;25;Am;23;Alfonso Diaz;PRI;Toyota GR86;TechSport Racing;8;15:29.440;1.096;2.984;131.72;1:40.282;4
24;3;Am;24;Jason Kos;USA;Toyota GR86;Eagles Canyon Racing powered by Fast Track;9;16:01.347;0.400;3.384;131.2;1:40.682;5
25;61;Am;25;James Klimas;USA;Toyota GR86;Skip Barber Racing;;;;;;;0
