Pos;No.;Class;PIC;Driver1;Nat;CarName;TeamName;Laps;Time;Gap;Diff;KPH;BestLap;ON
1;5;Am;1;Gresham Wagner;USA;Toyota GR86;Copeland Motorsports;14;45:28.600;;;148.36;2:26.055;2
2;13;Am;2;Westin Workman;USA;Toyota GR86;Copeland Motorsports;14;45:29.365;0.765;0.765;148.09;2:26.313;3
3;99;Am;3;Jaxon Bell;USA;Toyota GR86;Copeland Motorsports;14;45:29.946;0.581;1.346;148.33;2:26.083;3
4;55;Am;4;Spike Kohlbecker;USA;Toyota GR86;TechSport Racing;14;45:30.268;0.322;1.668;147.78;2:26.629;3
5;46;Am;5;Lucas Weisenberg;USA;Toyota GR86;Lucas Racing;14;45:31.730;1.462;3.130;147.87;2:26.537;7
6;18;Am;6;Jordan RickSegrini;USA;Toyota GR86;BSI Racing;14;45:32.864;1.134;4.264;147.48;2:26.927;3
7;88;Am;7;Henry Drury;GBR;Toyota GR86;Precision Racing LA w/ PT Autosport;14;45:33.834;0.970;5.234;147.05;2:27.354;3
8;51;Am;8;Adam Brickley;USA;Toyota GR86;Copeland Motorsports;14;45:34.456;0.622;5.856;147.17;2:27.228;6
9;44;Am;9;Aidan Yoder;USA;Toyota GR86;Precision Racing LA;14;45:34.579;0.123;5.979;146.81;2:27.590;6
10;78;Am;10;Julian DaCosta;USA;Toyota GR86;BSI Racing;14;45:36.521;1.942;7.921;146.77;2:27.636;6
11;76;Am;11;Steven Clemons;USA;Toyota GR86;BSI Racing;14;45:36.779;0.258;8.179;147.03;2:27.374;6
12;14;Am;12;Alex Garcia;USA;Toyota GR86;Skip Barber Racing;14;45:38.029;1.250;9.429;147.57;2:26.833;6
13;09;Am;13;Maddie Aust;USA;Toyota GR86;BSI Racing;14;45:40.071;2.042;11.471;146.41;2:27.996;5
14;34;Am;14;Braydon Arthur;CAN;Toyota GR86;JMF Motorsports;14;45:41.412;1.341;12.812;146.96;2:27.440;6
15;22;Am;15;Devin Anderson;USA;Toyota GR86;TechSport Racing;14;45:42.449;1.037;13.849;146.65;2:27.758;6
16;11;Am;16;Farran Davis;USA;Toyota GR86;RVA Graphics Motorsports by Speed Syndicate;14;45:43.457;1.008;14.857;146.1;2:28.312;6
17;77;Am;17;William Lambros;USA;Toyota GR86;Skip Barber Racing;14;45:44.958;1.501;16.358;146.64;2:27.770;4
18;39;Am;18;Maximilian Hewitt;USA;Toyota GR86;BSI Racing;14;45:45.574;0.616;16.974;145.64;2:28.775;6
19;21;Am;19;Ford Koch;USA;Toyota GR86;Eagles Canyon Racing powered by Fast Track;14;45:47.682;2.108;19.082;146.45;2:27.953;6
20;25;Am;20;Alfonso Diaz;PRI;Toyota GR86;TechSport Racing;14;45:47.776;0.094;19.176;144.54;2:29.909;6
21;80;Am;21;Tyler Wettengel;USA;Toyota GR86;Nitro Motorsports;14;45:50.235;2.459;21.635;146.81;2:27.595;6
22;61;Am;22;James Klimas;USA;Toyota GR86;Skip Barber Racing;14;45:53.071;2.836;24.471;145.01;2:29.422;6
23;57;Am;23;Mia Lovell;USA;Toyota GR86;Copeland Motorsports;14;46:21.384;28.313;52.784;147.42;2:26.987;6
24;24;Am;24;Jade Avedisian;USA;Toyota GR86;Nitro Motorsports;14;46:22.382;0.998;53.782;146.37;2:28.033;5
25;43;Am;25;Alexandra Hainer;USA;Toyota GR86;Precision Racing LA;14;46:30.228;7.846;1:01.628;145.75;2:28.666;6
26;50;Am;26;Casey Mashore;USA;Toyota GR86;Mashore Autobody;14;46:38.172;7.944;1:09.572;147.15;2:27.257;6
27;31;Am;27;Luke Rumburg;USA;Toyota GR86;RVA Graphics Motorsports by Speed Syndicate;10;28:33.260;4 Laps;4 Laps;147.3;2:27.098;5
28;15;Am;28;Bennett Muldoon;USA;Toyota GR86;Bennett Motorsports;7;17:37.866;3 Laps;7 Laps;145.51;2:28.910;6
;7;Am;;Spencer Bucknum;USA;Toyota GR86;Precision Racing LA;3;7:35.653;4 Laps;11 Laps;144.96;2:29.473;2
