"Pos","PIC","#","Name","Class","Laps","Total Time","Total Time (ms)","Best Time","Best Time (ms)","Best Speed","Best Lap","Diff","Gap","Points","Start Pos","Total distance","Laps led","Startgrid Comment","First Name","Last Name","2nd Best Time","2nd Best Time (ms)","Pitstops","S1 Best Time","S1 Best Time (ms)","S2 Best Time","S2 Best Time (ms)","S3 Best Time","S3 Best Time (ms)","FirstName","LastName","Additional1","Additional2","Additional3","Additional4","Additional5","Additional6","Additional7","Additional8","CarRegistration","DriverRegistration","Transponder1","Transponder2","Start PIC","Pos Gained","Pos Gained Overall"
"12","12","44","Alex Sedgwick","Am","5","11:54.158",714158,"2:07.856",127856,"92.072","4","1.097","0.004","0","19","16.350","0","","Alex","Sedgwick","2:09.342",129342,"1","45.064",45064,"48.212",48212,"34.580",34580,"Alex","Sedgwick","","219270","GR Cup","Toyota GR86","Precision Racing LA","Toyota Gazoo Racing GR","GBR","","entries:events-2024-sro-vir:AT5-T1KNCeGKeB0OyO6SP","entries:events-2024-sro-vir:AT5-T1KNCeGKeB0OyO6SP","14864382","",19,"7 (19 → 12)","7"
"13","13","51","Zachary Hollingshead","Am","6","13:13.403",793403,"2:07.895",127895,"92.044","5","1.136","0.039","0","23","19.620","0","","Zachary","Hollingshead","2:08.441",128441,"1","45.101",45101,"48.484",48484,"34.567",34567,"Zachary","Hollingshead","","219295","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:V7XoDhJhrJIni5QdoOpmj","entries:events-2024-sro-vir:V7XoDhJhrJIni5QdoOpmj","12714404","",23,"10 (23 → 13)","10"
"14","14","46","Lucas Weisenberg","Am","6","13:11.690",791690,"2:08.030",128030,"91.947","5","1.271","0.135","0","20","19.620","0","","Lucas","Weisenberg","2:09.051",129051,"1","44.964",44964,"48.968",48968,"34.948",34948,"Lucas","Weisenberg","","219272","GR Cup","Toyota GR86","Lucas Racing","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:ls2QejRvAFMzSge2hlnwL","entries:events-2024-sro-vir:ls2QejRvAFMzSge2hlnwL","12208074","",20,"6 (20 → 14)","6"
"15","15","75","Anna Inotsume","Am","6","13:35.967",815967,"2:08.116",128116,"91.885","4","1.357","0.086","0","28","19.620","0","","Anna","Inotsume","2:09.287",129287,"1","45.048",45048,"49.733",49733,"34.648",34648,"Anna","Inotsume","","218366","GR Cup","Toyota GR86","Hattori Motorsports","Toyota Gazoo Racing GR","JAP","","entries:events-2024-sro-vir:uTlE3DSiYbTiycOsWKj_3","entries:events-2024-sro-vir:uTlE3DSiYbTiycOsWKj_3","12969501","",28,"13 (28 → 15)","13"
"16","16","88","Henry Drury","Am","5","11:52.805",712805,"2:08.146",128146,"91.864","5","1.387","0.030","0","32","16.350","0","","Henry","Drury","2:09.372",129372,"1","45.369",45369,"48.685",48685,"34.899",34899,"Henry","Drury","","219218","GR Cup","Toyota GR86","Precision Racing LA w/ PT Autosport","Toyota Gazoo Racing GR","GBR","","entries:events-2024-sro-vir:78vPYEO6O9U07a1EiMlF4","entries:events-2024-sro-vir:78vPYEO6O9U07a1EiMlF4","13339178","",32,"16 (32 → 16)","16"
"17","17","39","Maximilian Hewitt","Am","6","13:12.776",792776,"2:08.168",128168,"91.848","5","1.409","0.022","0","17","19.620","0","","Maximilian","Hewitt","2:08.967",128967,"1","44.941",44941,"49.031",49031,"34.564",34564,"Maximilian","Hewitt","","219206","GR Cup","Toyota GR86","BSI Racing","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:LMlrcOP76O3wndyuQ_H9a","entries:events-2024-sro-vir:LMlrcOP76O3wndyuQ_H9a","13778007","",17,"0 (17 → 17)","0"
"18","18","24","Jade Avedisian","Am","6","13:25.922",805922,"2:08.224",128224,"91.808","5","1.465","0.056","0","12","19.620","0","","Jade","Avedisian","2:08.375",128375,"1","45.189",45189,"48.075",48075,"34.677",34677,"Jade","Avedisian","","219104","GR Cup","Toyota GR86","Nitro Motorsports","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:2olLUj0hxgnpwFdcUggOM","entries:events-2024-sro-vir:2olLUj0hxgnpwFdcUggOM","10544198","",12,"-6 (12 → 18)","-6"
"19","19","50","Casey Mashore","Am","5","11:15.935",675935,"2:08.321",128321,"91.739","4","1.562","0.097","0","22","16.350","0","","Casey","Mashore","2:09.024",129024,"1","44.992",44992,"48.040",48040,"34.876",34876,"Casey","Mashore","","219242","GR Cup","Toyota GR86","Mashore Autobody","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:jjJUOVpOzjLpJBsMuficD","entries:events-2024-sro-vir:jjJUOVpOzjLpJBsMuficD","10127188","",22,"3 (22 → 19)","3"
"20","20","76","Steven Clemons","Am","6","13:15.235",795235,"2:08.516",128516,"91.599","5","1.757","0.195","0","29","19.620","0","","Steven","Clemons","2:09.039",129039,"1","45.230",45230,"49.313",49313,"34.666",34666,"Steven","Clemons","","219225","GR Cup","Toyota GR86","BSI Racing","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:315DNcoJB7QURVGXA2Ivc","entries:events-2024-sro-vir:315DNcoJB7QURVGXA2Ivc","13032211","",29,"9 (29 → 20)","9"
"21","21","10","Ethan Tovo","Am","5","11:18.844",678844,"2:08.556",128556,"91.571","5","1.797","0.040","0","4","16.350","0","","Ethan","Tovo","2:10.236",130236,"1","45.619",45619,"49.480",49480,"34.623",34623,"Ethan","Tovo","","218391","GR Cup","Toyota GR86","Nitro Motorsports","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:Q-cfLVi8D2s6YnjC_tMhg","entries:events-2024-sro-vir:Q-cfLVi8D2s6YnjC_tMhg","16618605","",4,"-17 (4 → 21)","-17"
"22","22","09","Maddie Aust","Am","6","13:22.257",802257,"2:08.744",128744,"91.437","4","1.985","0.188","0","3","19.620","0","","Maddie","Aust","2:08.844",128844,"1","45.249",45249,"48.587",48587,"34.777",34777,"Maddie","Aust","","218788","GR Cup","Toyota GR86","BSI Racing","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:GS4jXVebkwjxf7cxkTONu","entries:events-2024-sro-vir:GS4jXVebkwjxf7cxkTONu","12372615","",3,"-19 (3 → 22)","-19"
"23","23","34","Braydon Arthur","Am","5","12:47.332",767332,"2:08.880",128880,"91.341","4","2.121","0.136","0","16","16.350","0","","Braydon","Arthur","2:09.041",129041,"1","44.903",44903,"49.278",49278,"34.561",34561,"Braydon","Arthur","","219195","GR Cup","Toyota GR86","JMF Motorsports","Toyota Gazoo Racing GR","CAN","","entries:events-2024-sro-vir:fFjK6qSTr5BgKGjfXAiF1","entries:events-2024-sro-vir:fFjK6qSTr5BgKGjfXAiF1","15222059","",16,"-7 (16 → 23)","-7"
