"Series","Class","No.","Best Lap 1","Best Lap 2","Best Lap 3","Best Lap 4","Best Lap 5","Best Lap 6","Best Lap 7","Best Lap 8","Best Lap 9","Best Lap 10","Average Best Time"
"GR Cup","Am","3","2:10.868","2:11.608","2:12.507","2:34.195","","","","","","","02:17.295"
"GR Cup","Am","5","2:06.968","2:07.524","2:07.874","2:08.668","2:09.618","2:14.284","","","","","02:09.156"
"GR Cup","Am","09","2:08.744","2:08.844","2:10.107","2:11.291","2:11.503","2:19.624","","","","","02:11.686"
"GR Cup","Am","10","2:08.556","2:10.236","2:10.532","2:11.485","2:20.436","","","","","","02:12.249"
"GR Cup","Am","13","2:07.496","2:07.959","2:08.868","2:09.409","2:15.266","","","","","","02:09.800"
"GR Cup","Am","14","2:09.081","2:10.748","2:11.545","2:13.285","2:33.311","","","","","","02:15.594"
"GR Cup","Am","15","2:09.256","2:10.122","2:11.566","2:24.665","3:30.191","","","","","","02:29.160"
"GR Cup","Am","18","2:07.654","2:08.252","2:08.795","2:09.105","2:10.846","2:19.626","","","","","02:10.713"
"GR Cup","Am","21","2:07.697","2:10.745","2:11.426","2:11.474","2:14.704","2:20.723","","","","","02:12.795"
"GR Cup","Am","22","2:08.240","2:09.906","2:19.765","2:23.382","3:30.564","","","","","","02:30.371"
"GR Cup","Am","24","2:08.224","2:08.375","2:11.384","2:12.253","2:13.559","2:18.133","","","","","02:11.988"
"GR Cup","Am","25","2:09.108","2:09.661","2:10.518","2:12.843","2:15.045","2:19.540","","","","","02:12.786"
"GR Cup","Am","30","2:10.664","2:11.584","2:11.630","2:14.152","2:26.155","","","","","","02:14.837"
"GR Cup","Am","31","2:07.852","2:08.553","2:09.085","2:09.220","2:23.544","","","","","","02:11.651"
"GR Cup","Am","34","2:08.880","2:09.041","2:10.355","2:14.505","2:18.803","","","","","","02:12.317"
"GR Cup","Am","39","2:08.168","2:08.967","2:09.208","2:09.495","2:11.031","2:16.203","","","","","02:10.512"
"GR Cup","Am","41","2:09.230","2:09.260","2:11.150","2:12.356","2:20.601","","","","","","02:12.519"
"GR Cup","Am","44","2:07.856","2:09.342","2:10.444","2:11.205","2:29.747","","","","","","02:13.719"
"GR Cup","Am","46","2:08.030","2:09.051","2:09.116","2:09.279","2:10.446","2:16.668","","","","","02:10.432"
"GR Cup","Am","47","2:06.926","2:07.621","2:08.075","2:16.205","2:17.019","2:18.864","","","","","02:12.452"
"GR Cup","Am","50","2:08.321","2:09.024","2:09.569","2:09.837","2:20.070","","","","","","02:11.364"
"GR Cup","Am","51","2:07.895","2:08.441","2:09.737","2:10.674","2:12.197","2:15.942","","","","","02:10.814"
"GR Cup","Am","55","2:06.882","2:07.623","2:08.065","2:16.262","2:17.089","2:19.073","","","","","02:12.499"
"GR Cup","Am","57","2:07.254","2:07.935","2:08.694","2:08.762","2:09.212","2:16.065","","","","","02:09.654"
"GR Cup","Am","61","2:14.608","2:15.147","2:18.858","2:19.869","2:33.097","2:42.275","","","","","02:23.976"
"GR Cup","Am","71","2:07.070","2:07.672","2:08.486","2:08.975","2:19.134","","","","","","02:10.267"
"GR Cup","Am","75","2:08.116","2:09.287","2:11.002","2:13.480","2:14.947","2:20.703","","","","","02:12.923"
"GR Cup","Am","76","2:08.516","2:09.039","2:09.291","2:09.675","2:10.309","2:17.550","","","","","02:10.730"
"GR Cup","Am","77","2:09.095","2:09.219","2:09.290","2:17.970","2:32.765","","","","","","02:15.668"
"GR Cup","Am","80","2:07.440","2:08.169","2:09.293","2:09.657","2:11.779","2:20.073","","","","","02:11.069"
"GR Cup","Am","88","2:08.146","2:09.372","2:09.650","2:11.367","2:29.477","","","","","","02:13.602"
"GR Cup","Am","99","2:06.759","2:07.790","2:08.729","2:10.311","2:15.577","","","","","","02:09.833"
